date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,CMCSA,40.77,40.93,40.67,40.91,1456082.79,35684,273
2018-01-08,09:32:00,CMCSA,40.89,41.03,40.89,40.95,1358943.06,33173,250
2018-01-08,09:33:00,CMCSA,40.95,40.98,40.87,40.91,1606895.07,39274,309
2018-01-08,09:34:00,CMCSA,40.9,40.97,40.88,40.93,1558803.83,38099,286
2018-01-08,09:35:00,CMCSA,40.94,40.94,40.82,40.82,1406923.04,34418,240
2018-01-08,09:36:00,CMCSA,40.82,40.85,40.78,40.85,2100280.78,51463,351
2018-01-08,09:37:00,CMCSA,40.86,40.88,40.81,40.85,2443786.7,59822,383
2018-01-08,09:38:00,CMCSA,40.85,40.87,40.82,40.87,1540375.05,37712,211
2018-01-08,09:39:00,CMCSA,40.87,40.88,40.77,40.8,2517975.13,61671,345
2018-01-08,09:40:00,CMCSA,40.81,40.81,40.72,40.74,1556975.18,38200,232
2018-01-08,09:41:00,CMCSA,40.75,40.78,40.74,40.74,561351.12,13773,89
2018-01-08,09:42:00,CMCSA,40.75,40.75,40.67,40.71,881587.49,21654,149
2018-01-08,09:43:00,CMCSA,40.71,40.8,40.71,40.79,1194902.0,29322,186
2018-01-08,09:44:00,CMCSA,40.79,40.8,40.74,40.75,1144584.26,28079,170
2018-01-08,09:45:00,CMCSA,40.76,40.84,40.75,40.82,859210.65,21064,144
2018-01-08,09:46:00,CMCSA,40.82,40.85,40.79,40.8,698336.68,17111,114
2018-01-08,09:47:00,CMCSA,40.79,40.85,40.78,40.81,789344.91,19337,137
2018-01-08,09:48:00,CMCSA,40.82,40.83,40.78,40.79,1036721.05,25407,163
2018-01-08,09:49:00,CMCSA,40.79,40.8,40.77,40.77,540286.11,13245,106
2018-01-08,09:50:00,CMCSA,40.78,40.81,40.76,40.77,1147867.74,28142,168
2018-01-08,09:51:00,CMCSA,40.76,40.8,40.76,40.77,1248102.66,30608,199
2018-01-08,09:52:00,CMCSA,40.77,40.78,40.74,40.75,1397982.67,34301,199
2018-01-08,09:53:00,CMCSA,40.74,40.76,40.71,40.72,1089763.45,26753,152
2018-01-08,09:54:00,CMCSA,40.73,40.74,40.72,40.72,464219.59,11398,96
2018-01-08,09:55:00,CMCSA,40.73,40.75,40.7,40.71,5302006.46,130203,515
2018-01-08,09:56:00,CMCSA,40.71,40.73,40.69,40.7,6456019.98,158604,545
2018-01-08,09:57:00,CMCSA,40.7,40.71,40.69,40.7,2667919.48,65549,233
2018-01-08,09:58:00,CMCSA,40.7,40.74,40.7,40.7,1133849.68,27846,172
2018-01-08,09:59:00,CMCSA,40.71,40.73,40.71,40.72,433968.19,10659,76
2018-01-08,10:00:00,CMCSA,40.72,40.74,40.7,40.74,685521.26,16834,128
2018-01-08,10:01:00,CMCSA,40.74,40.77,40.73,40.77,597912.34,14672,118
2018-01-08,10:02:00,CMCSA,40.76,40.83,40.75,40.81,848571.81,20809,165
2018-01-08,10:03:00,CMCSA,40.81,40.84,40.8,40.83,703743.59,17243,130
2018-01-08,10:04:00,CMCSA,40.83,40.87,40.82,40.87,582453.1,14263,113
2018-01-08,10:05:00,CMCSA,40.86,40.86,40.77,40.78,2486570.57,60940,381
2018-01-08,10:06:00,CMCSA,40.78,40.8,40.78,40.79,1767439.19,43333,269
2018-01-08,10:07:00,CMCSA,40.79,40.79,40.77,40.79,1090235.48,26733,140
2018-01-08,10:08:00,CMCSA,40.79,40.79,40.76,40.77,1407937.18,34524,201
2018-01-08,10:09:00,CMCSA,40.77,40.77,40.74,40.76,1754183.97,43041,262
2018-01-08,10:10:00,CMCSA,40.77,40.78,40.74,40.75,1131169.17,27750,187
2018-01-08,10:11:00,CMCSA,40.75,40.77,40.75,40.76,706242.48,17327,118
2018-01-08,10:12:00,CMCSA,40.76,40.77,40.74,40.74,374876.7,9200,69
2018-01-08,10:13:00,CMCSA,40.74,40.77,40.74,40.76,347053.55,8517,75
2018-01-08,10:14:00,CMCSA,40.76,40.77,40.74,40.74,631552.89,15496,102
2018-01-08,10:15:00,CMCSA,40.74,40.75,40.72,40.74,906948.83,22264,121
2018-01-08,10:16:00,CMCSA,40.75,40.75,40.71,40.71,920642.89,22605,145
2018-01-08,10:17:00,CMCSA,40.72,40.72,40.71,40.72,1123617.19,27597,124
2018-01-08,10:18:00,CMCSA,40.72,40.73,40.71,40.72,616030.24,15129,98
2018-01-08,10:19:00,CMCSA,40.72,40.72,40.71,40.71,445893.45,10952,80
2018-01-08,10:20:00,CMCSA,40.72,40.72,40.69,40.7,1307908.43,32133,188
2018-01-08,10:21:00,CMCSA,40.7,40.71,40.69,40.7,501251.64,12316,82
2018-01-08,10:22:00,CMCSA,40.69,40.7,40.66,40.68,942977.58,23183,144
2018-01-08,10:23:00,CMCSA,40.67,40.68,40.66,40.66,963902.82,23701,126
2018-01-08,10:24:00,CMCSA,40.67,40.67,40.64,40.65,1820012.98,44760,203
2018-01-08,10:25:00,CMCSA,40.65,40.65,40.6,40.6,1288708.6,31721,205
2018-01-08,10:26:00,CMCSA,40.61,40.61,40.58,40.58,435668.45,10732,79
2018-01-08,10:27:00,CMCSA,40.59,40.62,40.58,40.62,2026057.97,49907,303
2018-01-08,10:28:00,CMCSA,40.63,40.64,40.61,40.63,2406867.05,59254,272
2018-01-08,10:29:00,CMCSA,40.64,40.69,40.63,40.69,948464.12,23328,149
2018-01-08,10:30:00,CMCSA,40.69,40.73,40.69,40.69,2346586.42,57654,187
2018-01-08,10:31:00,CMCSA,40.69,40.71,40.66,40.69,1027705.75,25259,159
2018-01-08,10:32:00,CMCSA,40.69,40.71,40.69,40.69,1995055.65,49027,201
2018-01-08,10:33:00,CMCSA,40.69,40.71,40.66,40.71,8102428.57,199120,143
2018-01-08,10:34:00,CMCSA,40.71,40.71,40.7,40.7,377309.35,9270,32
2018-01-08,10:35:00,CMCSA,40.71,40.71,40.7,40.7,2072175.56,50911,174
2018-01-08,10:36:00,CMCSA,40.69,40.71,40.69,40.69,811800.19,19946,92
2018-01-08,10:37:00,CMCSA,40.7,40.71,40.68,40.69,2067982.16,50821,291
2018-01-08,10:38:00,CMCSA,40.68,40.69,40.64,40.67,2485739.6,61134,340
2018-01-08,10:39:00,CMCSA,40.67,40.67,40.64,40.65,2351245.33,57828,60
2018-01-08,10:40:00,CMCSA,40.64,40.65,40.61,40.64,4843095.49,119153,151
