date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,CNC,105.23,105.44,105.23,105.42,130417.74,1238,9
2018-01-08,09:33:00,CNC,105.55,105.58,105.32,105.45,305822.2,2900,19
2018-01-08,09:34:00,CNC,105.37,105.47,105.07,105.23,1369467.59,13002,44
2018-01-08,09:35:00,CNC,105.28,105.3,105.19,105.23,42100.0,400,4
2018-01-08,09:36:00,CNC,105.27,105.36,104.89,105.04,671125.16,6383,48
2018-01-08,09:37:00,CNC,105.06,105.07,104.55,104.55,480612.07,4585,28
2018-01-08,09:38:00,CNC,104.51,104.51,104.25,104.27,536647.51,5144,37
2018-01-08,09:39:00,CNC,104.35,104.35,104.14,104.23,284339.21,2727,19
2018-01-08,09:40:00,CNC,104.24,104.24,103.79,103.98,270497.5,2600,23
2018-01-08,09:41:00,CNC,104.09,104.24,103.94,103.94,626344.48,6017,48
2018-01-08,09:42:00,CNC,104.07,104.08,103.68,103.68,1261460.36,12142,29
2018-01-08,09:43:00,CNC,103.67,103.69,103.58,103.69,172796.09,1667,7
2018-01-08,09:44:00,CNC,103.66,103.78,103.62,103.7,857736.7,8270,64
2018-01-08,09:45:00,CNC,103.84,103.89,103.69,103.73,234547.14,2260,20
2018-01-08,09:46:00,CNC,103.72,103.9,103.72,103.86,249155.5,2400,19
2018-01-08,09:47:00,CNC,103.91,103.91,103.86,103.87,153627.39,1479,12
2018-01-08,09:48:00,CNC,103.87,103.87,103.67,103.71,197212.25,1900,19
2018-01-08,09:49:00,CNC,103.72,103.97,103.72,103.97,370701.76,3570,31
2018-01-08,09:50:00,CNC,103.97,104.12,103.9,104.11,280720.6,2700,16
2018-01-08,09:51:00,CNC,104.12,104.26,104.12,104.13,352767.43,3386,27
2018-01-08,09:52:00,CNC,104.13,104.21,104.13,104.21,104167.0,1000,9
2018-01-08,09:53:00,CNC,104.17,104.28,104.17,104.19,125092.5,1200,12
2018-01-08,09:54:00,CNC,104.22,104.27,104.12,104.16,448478.06,4304,28
2018-01-08,09:55:00,CNC,104.16,104.27,104.16,104.27,437642.5,4200,36
2018-01-08,09:56:00,CNC,104.3,104.3,104.17,104.17,244955.42,2350,22
2018-01-08,09:57:00,CNC,104.12,104.15,104.03,104.04,251416.52,2415,22
2018-01-08,09:58:00,CNC,104.03,104.16,104.03,104.15,135339.5,1300,13
2018-01-08,09:59:00,CNC,104.15,104.28,104.15,104.28,323011.75,3100,24
2018-01-08,10:00:00,CNC,104.24,104.45,104.24,104.45,198636.57,1904,18
2018-01-08,10:01:00,CNC,104.5,104.52,104.39,104.44,331520.55,3174,25
2018-01-08,10:02:00,CNC,104.41,104.44,104.21,104.24,762535.03,7308,53
2018-01-08,10:03:00,CNC,104.23,104.29,104.06,104.29,440512.34,4230,34
2018-01-08,10:04:00,CNC,104.22,104.22,104.09,104.09,125321.04,1203,12
2018-01-08,10:05:00,CNC,104.13,104.18,104.1,104.18,459139.93,4409,37
2018-01-08,10:06:00,CNC,104.18,104.2,104.11,104.15,523945.65,5031,46
2018-01-08,10:07:00,CNC,104.19,104.24,104.16,104.19,406440.5,3900,31
2018-01-08,10:08:00,CNC,104.18,104.3,104.17,104.28,260592.01,2500,23
2018-01-08,10:09:00,CNC,104.28,104.28,104.02,104.02,396437.88,3806,33
2018-01-08,10:10:00,CNC,104.0,104.06,103.98,104.04,847416.86,8146,63
2018-01-08,10:11:00,CNC,104.06,104.08,104.0,104.08,145797.08,1401,12
2018-01-08,10:12:00,CNC,104.08,104.1,104.0,104.07,416294.0,4000,33
2018-01-08,10:13:00,CNC,104.03,104.05,104.03,104.05,31211.6,300,3
2018-01-08,10:14:00,CNC,104.07,104.15,104.07,104.11,385301.82,3701,31
2018-01-08,10:15:00,CNC,104.06,104.06,104.02,104.05,57224.75,550,5
2018-01-08,10:16:00,CNC,104.05,104.16,104.05,104.14,317350.67,3049,25
2018-01-08,10:17:00,CNC,104.17,104.2,104.1,104.1,335002.9,3216,29
2018-01-08,10:18:00,CNC,104.12,104.15,104.05,104.09,41640.5,400,4
2018-01-08,10:19:00,CNC,104.13,104.18,104.1,104.13,394597.57,3789,36
2018-01-08,10:20:00,CNC,104.06,104.12,104.04,104.11,508862.22,4889,38
2018-01-08,10:21:00,CNC,104.1,104.15,103.94,103.94,629568.53,6050,51
2018-01-08,10:22:00,CNC,103.98,103.98,103.96,103.98,561418.3,5400,6
2018-01-08,10:23:00,CNC,103.99,103.99,103.99,103.99,20797.0,200,2
2018-01-08,10:24:00,CNC,103.99,103.99,103.87,103.87,331837.56,3192,25
2018-01-08,10:25:00,CNC,103.9,103.98,103.88,103.96,1066335.2,10260,69
2018-01-08,10:26:00,CNC,103.99,104.18,103.99,104.17,287190.6,2760,19
2018-01-08,10:27:00,CNC,104.2,104.27,104.17,104.27,239739.5,2300,14
2018-01-08,10:28:00,CNC,104.3,104.32,104.24,104.24,316905.21,3039,28
2018-01-08,10:29:00,CNC,104.22,104.27,104.2,104.27,203477.04,1952,17
2018-01-08,10:30:00,CNC,104.27,104.37,104.27,104.37,303398.11,2909,23
2018-01-08,10:31:00,CNC,104.43,104.43,104.19,104.19,348708.96,3342,29
2018-01-08,10:32:00,CNC,104.21,104.3,104.21,104.25,114691.0,1100,11
2018-01-08,10:33:00,CNC,104.3,104.3,104.3,104.3,31288.5,300,3
2018-01-08,10:34:00,CNC,104.26,104.3,104.13,104.19,444851.3,4269,33
2018-01-08,10:35:00,CNC,104.19,104.25,104.19,104.24,145927.92,1400,13
2018-01-08,10:36:00,CNC,104.23,104.32,104.17,104.17,229355.0,2200,22
2018-01-08,10:37:00,CNC,104.17,104.17,103.85,103.85,540641.0,5200,28
2018-01-08,10:38:00,CNC,103.81,103.94,103.81,103.91,126848.9,1221,11
2018-01-08,10:39:00,CNC,103.91,103.92,103.88,103.92,145465.94,1400,8
2018-01-08,10:40:00,CNC,103.92,103.92,103.88,103.92,214582.19,2065,12
2018-01-08,10:41:00,CNC,103.92,104.06,103.91,103.99,457496.75,4400,31
2018-01-08,10:42:00,CNC,104.02,104.06,103.99,103.99,156998.95,1509,13
2018-01-08,10:43:00,CNC,104.06,104.07,104.06,104.07,41624.5,400,4
2018-01-08,10:44:00,CNC,104.07,104.07,104.07,104.07,10407.0,100,1
2018-01-08,10:45:00,CNC,104.04,104.09,104.0,104.03,4852886.4,46660,39
2018-01-08,10:46:00,CNC,104.03,104.05,104.0,104.0,41611.0,400,4
2018-01-08,10:47:00,CNC,104.04,104.19,104.04,104.19,156163.04,1500,14
2018-01-08,10:48:00,CNC,104.15,104.29,104.15,104.29,41689.5,400,4
2018-01-08,10:49:00,CNC,104.26,104.34,104.21,104.34,325411.99,3121,24
2018-01-08,10:50:00,CNC,104.37,104.38,104.33,104.33,41746.0,400,4
2018-01-08,10:51:00,CNC,104.38,104.43,104.38,104.43,135411.24,1297,8
2018-01-08,10:52:00,CNC,104.41,104.44,104.38,104.42,114859.5,1100,11
2018-01-08,10:53:00,CNC,104.42,104.42,104.42,104.42,31325.5,300,3
2018-01-08,10:54:00,CNC,104.39,104.56,104.39,104.56,219442.4,2100,20
2018-01-08,10:55:00,CNC,104.52,104.55,104.46,104.49,212237.81,2031,20
2018-01-08,10:56:00,CNC,104.49,104.5,104.45,104.46,198481.5,1900,19
2018-01-08,10:57:00,CNC,104.46,104.53,104.45,104.53,202205.9,1935,14
2018-01-08,10:58:00,CNC,104.56,104.56,104.52,104.52,125450.0,1200,10
2018-01-08,10:59:00,CNC,104.55,104.58,104.55,104.57,146399.0,1400,14
2018-01-08,11:00:00,CNC,104.59,104.59,104.54,104.58,363443.55,3476,26
2018-01-08,11:01:00,CNC,104.59,104.59,104.54,104.54,167300.0,1600,16
2018-01-08,11:02:00,CNC,104.53,104.53,104.39,104.39,135795.0,1300,13
2018-01-08,11:03:00,CNC,104.39,104.4,104.38,104.4,31316.5,300,3
