date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,CSX,57.4,57.55,57.39,57.54,853914.33,14857,124
2018-01-08,09:32:00,CSX,57.46,57.77,57.46,57.71,1569278.39,27205,115
2018-01-08,09:33:00,CSX,57.67,57.68,57.55,57.59,878285.96,15248,132
2018-01-08,09:34:00,CSX,57.58,57.6,57.53,57.54,578083.97,10042,79
2018-01-08,09:35:00,CSX,57.54,57.59,57.45,57.53,1091538.35,18981,149
2018-01-08,09:36:00,CSX,57.53,57.55,57.5,57.53,863421.99,15008,63
2018-01-08,09:37:00,CSX,57.52,57.7,57.52,57.62,839768.76,14578,92
2018-01-08,09:38:00,CSX,57.64,57.68,57.58,57.67,910139.61,15789,121
2018-01-08,09:39:00,CSX,57.66,57.67,57.59,57.63,674764.17,11708,94
2018-01-08,09:40:00,CSX,57.6,57.64,57.54,57.58,621961.0,10800,80
2018-01-08,09:41:00,CSX,57.59,57.67,57.58,57.65,435724.5,7560,67
2018-01-08,09:42:00,CSX,57.64,57.75,57.64,57.71,836888.4,14500,89
2018-01-08,09:43:00,CSX,57.72,57.76,57.7,57.74,625088.59,10830,56
2018-01-08,09:44:00,CSX,57.75,57.81,57.75,57.81,382154.48,6616,64
2018-01-08,09:45:00,CSX,57.83,57.83,57.75,57.8,629934.01,10901,95
2018-01-08,09:46:00,CSX,57.78,57.8,57.66,57.73,660153.86,11432,99
2018-01-08,09:47:00,CSX,57.72,57.72,57.64,57.69,326727.86,5665,55
2018-01-08,09:48:00,CSX,57.67,57.67,57.59,57.62,690950.57,11990,99
2018-01-08,09:49:00,CSX,57.62,57.72,57.62,57.72,443293.46,7690,72
2018-01-08,09:50:00,CSX,57.72,57.82,57.68,57.8,597508.0,10346,95
2018-01-08,09:51:00,CSX,57.81,57.87,57.77,57.81,510255.2,8824,62
2018-01-08,09:52:00,CSX,57.82,57.87,57.8,57.83,352799.95,6100,52
2018-01-08,09:53:00,CSX,57.83,57.84,57.75,57.77,196513.3,3400,30
2018-01-08,09:54:00,CSX,57.77,57.81,57.77,57.79,265871.62,4600,29
2018-01-08,09:55:00,CSX,57.79,57.82,57.76,57.8,544150.38,9415,77
2018-01-08,09:56:00,CSX,57.8,57.82,57.79,57.81,1086497.98,18796,140
2018-01-08,09:57:00,CSX,57.8,57.82,57.8,57.8,790483.93,13675,108
2018-01-08,09:58:00,CSX,57.8,57.83,57.79,57.81,682123.1,11800,105
2018-01-08,09:59:00,CSX,57.8,57.83,57.8,57.81,394125.3,6817,60
2018-01-08,10:00:00,CSX,57.81,57.83,57.78,57.78,861535.62,14904,104
2018-01-08,10:01:00,CSX,57.8,57.85,57.8,57.83,370119.85,6400,63
2018-01-08,10:02:00,CSX,57.83,57.86,57.82,57.83,652314.8,11277,61
2018-01-08,10:03:00,CSX,57.83,57.83,57.76,57.82,652820.25,11297,67
2018-01-08,10:04:00,CSX,57.83,57.83,57.81,57.82,418301.33,7234,36
2018-01-08,10:05:00,CSX,57.82,57.82,57.72,57.74,2865675.94,49577,122
2018-01-08,10:06:00,CSX,57.74,57.76,57.72,57.73,1945034.98,33685,105
2018-01-08,10:07:00,CSX,57.72,57.73,57.69,57.7,438609.16,7600,50
2018-01-08,10:08:00,CSX,57.7,57.72,57.65,57.71,1062575.88,18417,134
2018-01-08,10:09:00,CSX,57.71,57.71,57.61,57.65,652269.82,11312,108
2018-01-08,10:10:00,CSX,57.65,57.67,57.63,57.66,546542.92,9482,61
2018-01-08,10:11:00,CSX,57.66,57.69,57.63,57.66,484333.64,8401,72
2018-01-08,10:12:00,CSX,57.68,57.68,57.63,57.64,423707.75,7350,54
2018-01-08,10:13:00,CSX,57.66,57.68,57.65,57.68,171134.87,2968,26
2018-01-08,10:14:00,CSX,57.67,57.7,57.66,57.69,813447.67,14105,68
2018-01-08,10:15:00,CSX,57.69,57.71,57.67,57.71,993855.66,17232,48
2018-01-08,10:16:00,CSX,57.7,57.71,57.67,57.71,576972.1,10000,47
2018-01-08,10:17:00,CSX,57.7,57.71,57.68,57.71,308907.24,5354,46
2018-01-08,10:18:00,CSX,57.71,57.71,57.66,57.67,394963.68,6848,65
2018-01-08,10:19:00,CSX,57.67,57.72,57.67,57.71,334626.0,5800,58
2018-01-08,10:20:00,CSX,57.71,57.76,57.71,57.76,431592.26,7474,34
2018-01-08,10:21:00,CSX,57.77,57.77,57.74,57.76,150159.0,2600,25
2018-01-08,10:22:00,CSX,57.76,57.78,57.75,57.78,158085.3,2737,27
2018-01-08,10:23:00,CSX,57.79,57.82,57.78,57.82,121371.31,2100,19
2018-01-08,10:24:00,CSX,57.82,57.83,57.81,57.81,218538.09,3780,27
2018-01-08,10:25:00,CSX,57.81,57.81,57.77,57.78,373788.13,6468,49
2018-01-08,10:26:00,CSX,57.78,57.81,57.78,57.79,233564.69,4041,31
2018-01-08,10:27:00,CSX,57.78,57.82,57.78,57.81,213878.5,3700,37
2018-01-08,10:28:00,CSX,57.8,57.8,57.77,57.78,251572.38,4354,40
2018-01-08,10:29:00,CSX,57.79,57.86,57.79,57.85,399061.0,6900,56
2018-01-08,10:30:00,CSX,57.84,57.89,57.84,57.88,735262.72,12708,82
2018-01-08,10:31:00,CSX,57.89,57.92,57.85,57.85,567465.89,9800,74
2018-01-08,10:32:00,CSX,57.86,57.93,57.86,57.93,208393.84,3600,31
2018-01-08,10:33:00,CSX,57.93,57.94,57.89,57.89,368889.8,6369,44
2018-01-08,10:34:00,CSX,57.89,57.92,57.84,57.92,315556.16,5452,50
2018-01-08,10:35:00,CSX,57.94,57.95,57.93,57.93,176700.67,3050,20
2018-01-08,10:36:00,CSX,57.92,57.92,57.9,57.9,127407.5,2200,21
2018-01-08,10:37:00,CSX,57.89,57.9,57.82,57.89,464784.18,8033,73
2018-01-08,10:38:00,CSX,57.9,57.92,57.89,57.91,110011.78,1900,16
2018-01-08,10:39:00,CSX,57.91,57.92,57.89,57.89,215754.19,3726,32
2018-01-08,10:40:00,CSX,57.89,57.91,57.88,57.91,605227.58,10455,56
2018-01-08,10:41:00,CSX,57.89,57.92,57.89,57.91,188412.11,3254,30
2018-01-08,10:42:00,CSX,57.91,57.91,57.87,57.89,3625011.22,62633,118
2018-01-08,10:43:00,CSX,57.89,57.92,57.89,57.92,254775.0,4400,36
2018-01-08,10:44:00,CSX,57.92,57.99,57.91,57.99,539936.86,9316,60
2018-01-08,10:45:00,CSX,57.99,58.02,57.99,57.99,1247385.71,21506,151
2018-01-08,10:46:00,CSX,58.0,58.08,57.99,58.07,555313.81,9570,78
2018-01-08,10:47:00,CSX,58.06,58.06,58.02,58.06,672260.77,11582,97
2018-01-08,10:48:00,CSX,58.06,58.07,58.03,58.03,423087.71,7289,60
2018-01-08,10:49:00,CSX,58.03,58.06,58.02,58.06,349618.65,6024,40
2018-01-08,10:50:00,CSX,58.06,58.08,58.05,58.07,489106.41,8424,64
2018-01-08,10:51:00,CSX,58.07,58.09,58.06,58.07,429825.24,7402,56
2018-01-08,10:52:00,CSX,58.05,58.05,58.01,58.03,263381.37,4539,40
2018-01-08,10:53:00,CSX,58.03,58.06,58.03,58.06,509598.58,8779,47
2018-01-08,10:54:00,CSX,58.06,58.06,58.04,58.05,251993.78,4341,34
2018-01-08,10:55:00,CSX,58.06,58.06,58.03,58.03,307766.05,5302,50
2018-01-08,10:56:00,CSX,58.04,58.04,58.0,58.01,259117.2,4466,40
2018-01-08,10:57:00,CSX,58.0,58.02,57.98,58.02,284801.08,4910,39
2018-01-08,10:58:00,CSX,58.03,58.05,58.03,58.05,305872.81,5270,33
2018-01-08,10:59:00,CSX,58.04,58.05,58.03,58.03,83401.47,1437,10
2018-01-08,11:00:00,CSX,58.02,58.03,58.01,58.01,287366.54,4953,44
2018-01-08,11:01:00,CSX,58.01,58.02,57.99,58.01,460721.27,7943,45
2018-01-08,11:02:00,CSX,58.01,58.02,57.98,58.01,360870.7,6222,46
2018-01-08,11:03:00,CSX,58.02,58.02,58.01,58.01,196682.35,3390,27
2018-01-08,11:04:00,CSX,58.02,58.04,57.99,58.02,622182.3,10725,77
2018-01-08,11:05:00,CSX,58.02,58.03,58.02,58.02,28836.94,497,3
2018-01-08,11:06:00,CSX,58.02,58.05,58.01,58.05,268384.45,4625,26
2018-01-08,11:07:00,CSX,58.05,58.09,58.04,58.07,933537.56,16078,74
2018-01-08,11:08:00,CSX,58.08,58.08,58.06,58.06,104521.11,1800,18
2018-01-08,11:09:00,CSX,58.07,58.08,58.05,58.06,436051.6,7510,46
2018-01-08,11:10:00,CSX,58.07,58.08,58.06,58.08,253320.29,4363,35
2018-01-08,11:11:00,CSX,58.09,58.09,58.01,58.02,656519.48,11313,78
2018-01-08,11:12:00,CSX,58.02,58.03,58.02,58.03,477912.51,8236,43
2018-01-08,11:13:00,CSX,58.03,58.03,58.03,58.03,360305.89,6209,31
