date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,FBHS,71.7,71.71,71.7,71.71,14341.0,200,2
2018-01-08,09:32:00,FBHS,71.54,71.54,71.54,71.54,7153.5,100,1
2018-01-08,09:33:00,FBHS,71.63,71.63,71.63,71.63,7163.0,100,1
2018-01-08,09:34:00,FBHS,71.47,71.61,71.47,71.5,21458.0,300,3
2018-01-08,09:35:00,FBHS,71.5,71.66,71.5,71.63,179773.5,2510,22
2018-01-08,09:36:00,FBHS,71.65,71.67,71.65,71.67,35832.0,500,5
2018-01-08,09:37:00,FBHS,71.59,71.63,71.53,71.57,326111.28,4557,19
2018-01-08,09:38:00,FBHS,71.57,71.57,71.48,71.53,178834.5,2500,15
2018-01-08,09:39:00,FBHS,71.5,71.52,71.39,71.43,114322.0,1600,15
2018-01-08,09:40:00,FBHS,71.37,71.37,71.36,71.36,14272.5,200,2
2018-01-08,09:41:00,FBHS,71.4,71.4,71.31,71.31,57083.0,800,7
2018-01-08,09:42:00,FBHS,71.28,71.32,71.28,71.32,14260.0,200,2
2018-01-08,09:43:00,FBHS,71.3,71.3,71.26,71.26,38493.5,540,4
2018-01-08,09:44:00,FBHS,71.22,71.28,71.22,71.28,64130.0,900,9
2018-01-08,09:45:00,FBHS,71.22,71.22,71.22,71.22,7122.0,100,1
2018-01-08,09:46:00,FBHS,71.22,71.24,71.22,71.23,28492.0,400,4
2018-01-08,09:47:00,FBHS,71.23,71.25,71.19,71.19,178070.84,2500,7
2018-01-08,09:48:00,FBHS,71.19,71.19,71.09,71.09,85381.5,1200,5
2018-01-08,09:49:00,FBHS,71.13,71.18,71.13,71.16,135188.0,1900,17
2018-01-08,09:50:00,FBHS,71.2,71.21,71.2,71.21,21361.0,300,3
2018-01-08,09:51:00,FBHS,71.22,71.22,71.21,71.21,35607.0,500,4
2018-01-08,09:52:00,FBHS,71.2,71.2,71.17,71.18,21355.0,300,3
2018-01-08,09:53:00,FBHS,71.14,71.14,71.14,71.14,7114.0,100,1
2018-01-08,09:54:00,FBHS,71.11,71.12,71.07,71.09,128120.16,1802,14
2018-01-08,09:56:00,FBHS,71.13,71.14,71.09,71.14,832012.0,11700,23
2018-01-08,09:57:00,FBHS,71.14,71.19,71.09,71.19,1684777.74,23689,53
2018-01-08,09:58:00,FBHS,71.17,71.17,71.17,71.17,8753.91,123,1
2018-01-08,09:59:00,FBHS,71.19,71.21,71.18,71.21,42715.0,600,6
