date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,GWW,237.29,237.3,237.24,237.24,308439.0,1300,12
2018-01-08,09:32:00,GWW,236.83,237.38,236.83,237.38,197618.26,833,3
2018-01-08,09:33:00,GWW,237.05,237.06,236.72,236.72,71083.0,300,3
2018-01-08,09:34:00,GWW,237.32,237.32,236.7,237.32,142313.0,600,5
2018-01-08,09:35:00,GWW,237.41,237.41,236.94,236.94,118617.0,500,5
2018-01-08,09:36:00,GWW,237.41,237.41,237.4,237.4,47481.0,200,2
2018-01-08,09:37:00,GWW,237.05,237.4,237.04,237.33,403380.0,1700,12
2018-01-08,09:38:00,GWW,237.08,237.34,237.08,237.34,47442.0,200,2
2018-01-08,09:39:00,GWW,237.34,237.34,237.08,237.34,237314.0,1000,7
2018-01-08,09:40:00,GWW,237.09,237.57,237.03,237.31,190779.78,804,8
2018-01-08,09:41:00,GWW,237.31,237.41,237.04,237.41,335641.6,1415,12
2018-01-08,09:42:00,GWW,237.41,237.69,237.41,237.65,316665.82,1333,13
2018-01-08,09:43:00,GWW,237.87,238.33,237.82,237.99,428448.0,1800,17
2018-01-08,09:44:00,GWW,237.99,238.27,237.99,238.27,142895.0,600,6
2018-01-08,09:45:00,GWW,238.27,238.27,237.99,238.22,169825.01,713,7
2018-01-08,09:46:00,GWW,238.43,238.43,238.27,238.29,238296.5,1000,8
2018-01-08,09:47:00,GWW,238.29,238.36,238.09,238.15,1784463.51,7492,41
2018-01-08,09:48:00,GWW,238.15,238.18,238.06,238.14,318633.82,1338,11
2018-01-08,09:49:00,GWW,238.13,238.44,238.13,238.31,262126.5,1100,11
2018-01-08,09:50:00,GWW,238.43,238.43,238.38,238.38,47681.0,200,2
2018-01-08,09:51:00,GWW,238.35,238.48,238.32,238.32,119209.0,500,5
2018-01-08,09:52:00,GWW,238.43,238.43,238.43,238.43,190744.0,800,7
2018-01-08,09:53:00,GWW,238.45,238.45,238.04,238.15,564767.63,2370,22
2018-01-08,09:54:00,GWW,238.02,238.15,237.97,238.13,1476424.0,6200,11
2018-01-08,09:55:00,GWW,237.95,238.13,237.94,238.1,333260.0,1400,14
2018-01-08,09:56:00,GWW,238.05,238.05,237.97,238.05,214231.0,900,9
2018-01-08,09:57:00,GWW,237.98,237.98,237.97,237.97,71392.0,300,3
2018-01-08,09:58:00,GWW,237.98,237.98,237.98,237.98,23798.0,100,1
2018-01-08,09:59:00,GWW,238.1,238.1,238.09,238.09,71427.5,300,3
2018-01-08,10:00:00,GWW,238.09,238.09,237.98,238.08,214254.5,900,9
2018-01-08,10:01:00,GWW,238.08,238.39,238.0,238.37,1071209.49,4497,43
2018-01-08,10:02:00,GWW,238.23,238.46,238.23,238.4,190708.0,800,8
2018-01-08,10:03:00,GWW,238.66,238.68,238.43,238.43,143117.0,600,6
2018-01-08,10:04:00,GWW,238.57,238.58,238.57,238.58,47714.5,200,2
2018-01-08,10:05:00,GWW,238.59,238.6,238.58,238.6,214727.0,900,6
2018-01-08,10:06:00,GWW,238.59,238.59,238.58,238.59,214730.0,900,8
2018-01-08,10:07:00,GWW,238.7,238.7,238.43,238.48,498740.53,2091,19
2018-01-08,10:08:00,GWW,238.37,238.37,238.22,238.37,71495.5,300,3
2018-01-08,10:09:00,GWW,238.19,238.19,237.94,238.09,667303.53,2803,21
2018-01-08,10:10:00,GWW,237.76,237.76,237.76,237.76,23776.0,100,1
2018-01-08,10:11:00,GWW,237.76,237.76,237.68,237.76,237749.0,1000,9
2018-01-08,10:12:00,GWW,237.77,237.77,237.77,237.77,71331.0,300,3
2018-01-08,10:13:00,GWW,237.77,237.77,237.37,237.41,190032.0,800,8
2018-01-08,10:14:00,GWW,237.41,237.61,237.16,237.24,410843.25,1731,15
2018-01-08,10:15:00,GWW,237.15,237.15,237.05,237.05,213414.0,900,5
2018-01-08,10:16:00,GWW,236.72,237.06,236.71,236.71,686859.84,2899,20
2018-01-08,10:17:00,GWW,236.45,236.56,236.45,236.45,70945.5,300,3
2018-01-08,10:18:00,GWW,236.55,236.55,235.93,235.93,212705.0,900,9
2018-01-08,10:19:00,GWW,236.05,236.36,236.05,236.14,141720.8,600,5
2018-01-08,10:20:00,GWW,236.14,236.14,235.55,235.84,283045.3,1200,11
2018-01-08,10:21:00,GWW,235.54,235.54,235.54,235.54,23554.25,100,1
2018-01-08,10:22:00,GWW,235.56,235.56,235.1,235.1,94139.5,400,4
2018-01-08,10:23:00,GWW,235.39,235.39,235.07,235.17,204596.7,870,7
2018-01-08,10:24:00,GWW,235.22,235.56,235.22,235.56,781036.02,3318,26
2018-01-08,10:25:00,GWW,235.68,235.68,235.49,235.67,225282.57,956,3
2018-01-08,10:26:00,GWW,235.51,235.51,234.89,235.03,801122.44,3405,28
2018-01-08,10:27:00,GWW,234.9,235.14,234.88,234.88,70492.0,300,3
2018-01-08,10:28:00,GWW,234.86,234.88,234.72,234.72,93919.0,400,4
2018-01-08,10:29:00,GWW,234.88,235.04,234.73,235.04,281947.5,1200,12
2018-01-08,10:30:00,GWW,235.28,235.28,235.07,235.28,70562.0,300,3
2018-01-08,10:31:00,GWW,235.28,235.28,235.11,235.22,399864.0,1700,11
2018-01-08,10:32:00,GWW,235.35,235.35,235.08,235.28,352811.0,1500,14
2018-01-08,10:33:00,GWW,235.47,235.47,235.11,235.11,94104.0,400,4
2018-01-08,10:34:00,GWW,235.17,235.32,235.17,235.22,117610.5,500,5
2018-01-08,10:35:00,GWW,235.34,235.48,235.3,235.46,275923.9,1172,11
2018-01-08,10:36:00,GWW,235.51,235.68,235.41,235.46,910916.5,3868,32
2018-01-08,10:37:00,GWW,235.49,235.49,235.24,235.29,164716.0,700,7
2018-01-08,10:38:00,GWW,235.29,235.54,235.29,235.46,258900.4,1100,10
2018-01-08,10:39:00,GWW,235.49,235.54,235.32,235.54,76522.74,325,3
2018-01-08,10:40:00,GWW,235.5,235.51,235.35,235.38,119843.05,509,5
2018-01-08,10:41:00,GWW,235.41,235.5,235.34,235.5,447274.0,1900,19
2018-01-08,10:42:00,GWW,235.5,235.5,235.5,235.5,23549.5,100,1
2018-01-08,10:43:00,GWW,235.6,235.6,235.19,235.19,258912.5,1100,10
2018-01-08,10:44:00,GWW,235.24,235.4,235.16,235.4,214605.32,912,8
2018-01-08,10:45:00,GWW,235.46,235.77,235.37,235.77,237191.28,1007,9
2018-01-08,10:46:00,GWW,235.65,235.65,235.4,235.47,211999.0,900,9
2018-01-08,10:47:00,GWW,235.37,235.47,235.37,235.47,261809.07,1112,11
2018-01-08,10:48:00,GWW,235.42,235.55,235.35,235.51,189763.17,806,4
2018-01-08,10:49:00,GWW,235.4,235.5,235.4,235.49,70638.0,300,3
2018-01-08,10:50:00,GWW,235.52,235.52,235.41,235.5,95131.08,404,4
2018-01-08,10:51:00,GWW,235.42,235.45,235.29,235.45,164793.5,700,4
2018-01-08,10:52:00,GWW,235.43,235.56,235.34,235.56,2038676.5,8660,23
2018-01-08,10:53:00,GWW,235.5,235.6,235.5,235.6,400484.5,1700,14
2018-01-08,10:54:00,GWW,235.63,235.98,235.55,235.98,495038.81,2100,21
2018-01-08,10:55:00,GWW,235.97,236.04,235.97,236.04,188824.5,800,7
2018-01-08,10:56:00,GWW,236.15,236.34,236.15,236.22,519788.5,2200,21
2018-01-08,10:57:00,GWW,236.12,236.12,236.04,236.04,87814.88,372,2
2018-01-08,10:58:00,GWW,236.04,236.04,235.84,235.84,117988.0,500,5
2018-01-08,10:59:00,GWW,235.95,235.95,235.82,235.82,94353.5,400,4
2018-01-08,11:00:00,GWW,235.95,236.19,235.95,235.97,859008.73,3639,31
2018-01-08,11:01:00,GWW,235.99,235.99,235.95,235.95,70789.0,300,3
2018-01-08,11:02:00,GWW,235.67,235.72,235.52,235.57,730309.95,3100,26
2018-01-08,11:03:00,GWW,235.62,235.84,235.62,235.8,164999.5,700,7
2018-01-08,11:04:00,GWW,235.74,235.93,235.71,235.86,141467.51,600,6
2018-01-08,11:05:00,GWW,235.86,235.86,235.66,235.7,306437.5,1300,13
2018-01-08,11:06:00,GWW,235.59,235.65,235.45,235.54,665389.15,2825,21
2018-01-08,11:07:00,GWW,235.65,235.65,235.53,235.53,332116.58,1410,6
2018-01-08,11:08:00,GWW,235.55,235.55,235.55,235.55,47109.5,200,2
2018-01-08,11:09:00,GWW,235.55,235.74,235.55,235.72,377036.5,1600,15
2018-01-08,11:10:00,GWW,235.64,235.69,235.51,235.69,329896.5,1400,11
2018-01-08,11:11:00,GWW,235.6,235.61,235.6,235.61,47121.0,200,2
2018-01-08,11:12:00,GWW,235.85,235.87,235.7,235.86,400880.36,1700,13
2018-01-08,11:13:00,GWW,235.86,235.86,235.49,235.85,612735.5,2600,23
2018-01-08,11:14:00,GWW,235.64,235.78,235.56,235.69,864797.82,3669,32
2018-01-08,11:15:00,GWW,235.63,235.83,235.53,235.83,777502.5,3300,27
2018-01-08,11:16:00,GWW,235.69,235.75,235.57,235.62,4948511.65,20996,45
2018-01-08,11:17:00,GWW,235.72,235.83,235.69,235.77,2758377.5,11700,24
2018-01-08,11:18:00,GWW,235.76,235.77,235.76,235.77,94306.5,400,4
2018-01-08,11:19:00,GWW,235.83,235.83,235.83,235.83,23583.0,100,1
2018-01-08,11:20:00,GWW,235.88,236.07,235.88,236.0,569092.56,2412,22
2018-01-08,11:21:00,GWW,236.01,236.01,235.99,235.99,545850.35,2313,2
2018-01-08,11:22:00,GWW,236.16,236.33,236.15,236.33,377868.0,1600,16
2018-01-08,11:23:00,GWW,236.33,236.34,236.05,236.26,818177.65,3465,29
2018-01-08,11:24:00,GWW,236.38,236.4,236.07,236.1,1041582.0,4408,33
2018-01-08,11:25:00,GWW,236.17,236.18,235.8,235.8,1044144.43,4423,31
2018-01-08,11:26:00,GWW,235.82,235.83,235.75,235.83,282977.5,1200,12
2018-01-08,11:27:00,GWW,235.83,235.83,235.83,235.83,23582.5,100,1
2018-01-08,11:29:00,GWW,235.97,236.06,235.75,235.86,733695.5,3110,31
