date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:32:00,IDXX,166.63,166.63,166.63,166.63,33325.86,200,1
2018-01-08,09:33:00,IDXX,166.95,167.27,166.89,167.27,320205.46,1917,10
2018-01-08,09:34:00,IDXX,167.52,167.71,167.52,167.71,217924.5,1300,13
2018-01-08,09:37:00,IDXX,167.67,167.67,167.67,167.67,16767.0,100,1
2018-01-08,09:38:00,IDXX,167.24,167.24,167.01,167.01,66844.26,400,3
2018-01-08,09:39:00,IDXX,166.86,166.86,166.69,166.86,116749.0,700,6
2018-01-08,09:41:00,IDXX,166.37,166.37,166.37,166.37,66546.0,400,3
2018-01-08,09:42:00,IDXX,166.32,166.48,166.27,166.48,83187.0,500,5
2018-01-08,09:43:00,IDXX,166.49,166.49,166.45,166.45,66584.5,400,4
2018-01-08,09:46:00,IDXX,166.08,166.45,166.08,166.45,99822.0,600,6
2018-01-08,09:47:00,IDXX,166.29,166.29,166.29,166.29,16628.72,100,1
2018-01-08,09:48:00,IDXX,166.26,166.26,166.02,166.16,199338.5,1200,11
2018-01-08,09:49:00,IDXX,166.15,166.2,166.09,166.2,520221.89,3131,23
2018-01-08,09:50:00,IDXX,166.14,166.14,166.14,166.14,16614.0,100,1
2018-01-08,09:51:00,IDXX,166.24,166.25,166.24,166.25,212956.44,1281,11
2018-01-08,09:52:00,IDXX,166.13,166.13,166.13,166.13,83065.0,500,3
2018-01-08,09:55:00,IDXX,166.13,166.37,166.13,166.37,315903.0,1900,17
2018-01-08,09:57:00,IDXX,166.31,166.31,166.31,166.31,16630.5,100,1
2018-01-08,09:58:00,IDXX,166.4,166.4,166.4,166.4,33280.0,200,2
2018-01-08,09:59:00,IDXX,166.4,166.42,166.4,166.42,83206.0,500,5
2018-01-08,10:01:00,IDXX,166.41,166.42,166.41,166.42,66567.0,400,3
2018-01-08,10:02:00,IDXX,166.3,166.3,166.3,166.3,66520.0,400,1
2018-01-08,10:03:00,IDXX,166.3,166.3,166.11,166.18,909133.2,5469,52
2018-01-08,10:04:00,IDXX,166.19,166.24,166.19,166.24,83105.0,500,5
2018-01-08,10:06:00,IDXX,166.17,166.29,166.17,166.29,265970.0,1600,13
2018-01-08,10:08:00,IDXX,166.18,166.18,166.18,166.18,16618.0,100,1
2018-01-08,10:09:00,IDXX,166.18,166.18,166.09,166.17,160839.4,968,8
2018-01-08,10:10:00,IDXX,166.08,166.12,166.06,166.12,124560.75,750,7
2018-01-08,10:13:00,IDXX,166.16,166.51,166.16,166.51,382465.0,2300,22
2018-01-08,10:14:00,IDXX,166.54,166.74,166.54,166.74,299923.0,1800,11
2018-01-08,10:15:00,IDXX,167.07,167.07,166.96,166.96,50110.0,300,2
2018-01-08,10:16:00,IDXX,166.75,166.75,166.69,166.7,277902.25,1667,16
2018-01-08,10:17:00,IDXX,166.72,166.77,166.68,166.68,150045.0,900,8
2018-01-08,10:18:00,IDXX,166.61,166.61,166.59,166.59,99958.0,600,5
2018-01-08,10:19:00,IDXX,166.59,166.59,166.59,166.59,33318.0,200,2
2018-01-08,10:20:00,IDXX,166.58,166.58,166.45,166.45,33302.5,200,2
2018-01-08,10:22:00,IDXX,166.46,166.47,166.4,166.43,99867.0,600,6
2018-01-08,10:24:00,IDXX,166.36,166.36,166.36,166.36,16636.0,100,1
2018-01-08,10:25:00,IDXX,166.39,166.54,166.37,166.54,379213.68,2278,21
2018-01-08,10:27:00,IDXX,166.57,166.6,166.57,166.57,182403.89,1095,10
2018-01-08,10:28:00,IDXX,166.58,166.58,166.57,166.57,133259.0,800,8
2018-01-08,10:29:00,IDXX,166.58,166.58,166.57,166.57,33314.5,200,2
2018-01-08,10:31:00,IDXX,166.47,166.49,166.4,166.43,74902.88,450,4
2018-01-08,10:32:00,IDXX,166.3,166.3,166.3,166.3,16630.0,100,1
2018-01-08,10:34:00,IDXX,166.25,166.35,166.2,166.2,249406.0,1500,15
2018-01-08,10:35:00,IDXX,166.19,166.33,166.16,166.16,266849.15,1605,14
2018-01-08,10:36:00,IDXX,166.23,166.23,166.23,166.23,16623.0,100,1
2018-01-08,10:37:00,IDXX,166.22,166.24,166.21,166.21,49867.0,300,3
2018-01-08,10:38:00,IDXX,166.28,166.28,166.28,166.28,16628.0,100,1
2018-01-08,10:39:00,IDXX,166.21,166.21,166.21,166.21,16621.0,100,1
2018-01-08,10:40:00,IDXX,166.16,166.16,166.16,166.16,16616.0,100,1
2018-01-08,10:41:00,IDXX,166.13,166.13,166.13,166.13,33226.0,200,2
2018-01-08,10:42:00,IDXX,166.12,166.15,166.03,166.03,83046.22,500,5
2018-01-08,10:43:00,IDXX,166.0,166.06,165.86,165.96,137741.68,830,8
2018-01-08,10:47:00,IDXX,165.93,166.09,165.93,165.96,332092.5,2000,20
2018-01-08,10:48:00,IDXX,165.96,166.01,165.96,166.01,49793.0,300,3
2018-01-08,10:52:00,IDXX,165.92,165.92,165.88,165.88,182510.3,1100,2
2018-01-08,10:56:00,IDXX,166.06,166.06,166.06,166.06,16606.0,100,1
2018-01-08,10:57:00,IDXX,165.81,165.82,165.77,165.77,82892.5,500,5
2018-01-08,10:59:00,IDXX,165.79,165.79,165.71,165.71,49728.0,300,3
2018-01-08,11:00:00,IDXX,165.71,165.71,165.54,165.54,66267.0,400,4
2018-01-08,11:02:00,IDXX,165.51,165.52,165.42,165.42,115833.11,700,7
2018-01-08,11:03:00,IDXX,165.54,165.92,165.51,165.92,1648950.74,9953,73
2018-01-08,11:04:00,IDXX,165.96,166.02,165.96,166.02,232379.0,1400,14
2018-01-08,11:05:00,IDXX,165.95,165.95,165.95,165.95,16594.5,100,1
2018-01-08,11:07:00,IDXX,166.0,166.0,166.0,166.0,16600.0,100,1
2018-01-08,11:08:00,IDXX,165.95,166.0,165.95,166.0,49790.0,300,3
2018-01-08,11:09:00,IDXX,165.95,165.95,165.95,165.95,16594.5,100,1
2018-01-08,11:10:00,IDXX,165.94,165.94,165.94,165.94,33188.0,200,2
2018-01-08,11:11:00,IDXX,166.03,166.04,165.98,165.98,66407.5,400,4
2018-01-08,11:13:00,IDXX,165.98,166.04,165.98,166.04,66401.5,400,4
2018-01-08,11:14:00,IDXX,166.03,166.05,166.01,166.01,66414.0,400,4
