date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,MMC,82.8,82.8,82.53,82.58,2300731.17,27798,33
2018-01-08,09:32:00,MMC,82.62,82.68,82.61,82.68,57860.0,700,7
2018-01-08,09:33:00,MMC,82.73,82.77,82.72,82.74,57918.0,700,6
2018-01-08,09:34:00,MMC,82.82,82.94,82.77,82.88,179190.44,2163,19
2018-01-08,09:35:00,MMC,82.84,82.84,82.72,82.82,74517.0,900,8
2018-01-08,09:36:00,MMC,82.85,82.97,82.85,82.89,69713.45,841,7
2018-01-08,09:37:00,MMC,82.9,82.95,82.86,82.86,360861.34,4352,35
2018-01-08,09:38:00,MMC,82.88,82.89,82.8,82.86,74573.5,900,8
2018-01-08,09:39:00,MMC,82.87,82.87,82.8,82.8,69337.34,837,7
2018-01-08,09:40:00,MMC,82.73,82.74,82.58,82.74,289232.0,3500,24
2018-01-08,09:41:00,MMC,82.75,82.8,82.75,82.79,446990.5,5400,38
2018-01-08,09:42:00,MMC,82.86,82.86,82.86,82.86,8286.0,100,1
2018-01-08,09:43:00,MMC,82.87,82.87,82.8,82.8,80014.22,966,8
2018-01-08,09:44:00,MMC,82.76,82.79,82.75,82.75,388279.0,4691,41
2018-01-08,09:45:00,MMC,82.77,82.81,82.71,82.76,331894.2,4010,34
2018-01-08,09:46:00,MMC,82.73,82.73,82.57,82.57,567072.8,6864,29
2018-01-08,09:48:00,MMC,82.55,82.55,82.49,82.49,140520.65,1703,16
2018-01-08,09:49:00,MMC,82.55,82.56,82.52,82.52,123816.01,1500,15
2018-01-08,09:50:00,MMC,82.55,82.59,82.52,82.57,248254.14,3007,29
2018-01-08,09:51:00,MMC,82.59,82.64,82.59,82.64,71043.87,860,7
2018-01-08,09:52:00,MMC,82.61,82.61,82.56,82.56,50630.67,613,5
2018-01-08,09:53:00,MMC,82.56,82.57,82.47,82.52,181568.0,2200,18
2018-01-08,09:54:00,MMC,82.52,82.52,82.5,82.52,115522.0,1400,14
2018-01-08,09:55:00,MMC,82.5,82.5,82.45,82.48,131964.0,1600,14
