date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,08:56:00,MON,118.99,118.99,118.99,118.99,59495.0,500,1
2018-01-08,09:29:00,MON,118.74,118.74,118.74,118.74,11874.0,100,1
2018-01-08,09:31:00,MON,118.74,118.77,118.72,118.76,1092439.5,9200,71
2018-01-08,09:32:00,MON,118.76,118.77,118.75,118.75,203320.24,1712,13
2018-01-08,09:33:00,MON,118.74,118.75,118.74,118.75,284978.97,2400,22
2018-01-08,09:34:00,MON,118.74,118.74,118.61,118.61,3408865.32,28727,75
2018-01-08,09:35:00,MON,118.6,118.62,118.56,118.59,516483.73,4355,24
2018-01-08,09:36:00,MON,118.62,118.62,118.56,118.57,720483.83,6076,46
2018-01-08,09:37:00,MON,118.56,118.58,118.54,118.54,696710.61,5876,46
2018-01-08,09:38:00,MON,118.54,118.55,118.5,118.53,503408.7,4247,26
2018-01-08,09:39:00,MON,118.52,118.54,118.5,118.51,188680.92,1592,11
2018-01-08,09:40:00,MON,118.5,118.51,118.5,118.51,59254.1,500,5
2018-01-08,09:41:00,MON,118.52,118.56,118.52,118.56,297883.4,2513,20
2018-01-08,09:42:00,MON,118.56,118.56,118.51,118.51,124934.62,1054,7
2018-01-08,09:43:00,MON,118.51,118.53,118.51,118.51,47406.0,400,3
2018-01-08,09:44:00,MON,118.52,118.52,118.52,118.52,59260.0,500,4
2018-01-08,09:45:00,MON,118.5,118.51,118.46,118.49,510095.9,4305,35
2018-01-08,09:46:00,MON,118.5,118.51,118.48,118.5,201446.0,1700,15
2018-01-08,09:47:00,MON,118.5,118.51,118.5,118.5,154059.0,1300,13
2018-01-08,09:48:00,MON,118.5,118.5,118.49,118.49,82944.5,700,6
2018-01-08,09:49:00,MON,118.47,118.55,118.46,118.55,580685.4,4900,29
2018-01-08,09:50:00,MON,118.55,118.57,118.48,118.5,4111464.5,34700,28
2018-01-08,09:51:00,MON,118.5,118.54,118.5,118.51,225160.0,1900,16
2018-01-08,09:52:00,MON,118.51,118.51,118.5,118.5,94804.0,800,8
2018-01-08,09:53:00,MON,118.5,118.5,118.48,118.49,533238.5,4500,31
2018-01-08,09:54:00,MON,118.5,118.51,118.49,118.5,657321.82,5547,43
2018-01-08,09:55:00,MON,118.5,118.51,118.49,118.5,402899.0,3400,28
2018-01-08,09:56:00,MON,118.5,118.51,118.49,118.5,533960.5,4506,26
2018-01-08,09:57:00,MON,118.5,118.5,118.49,118.5,106766.5,901,9
2018-01-08,09:58:00,MON,118.5,118.51,118.49,118.5,196473.69,1658,14
2018-01-08,09:59:00,MON,118.5,118.51,118.5,118.5,47401.0,400,4
2018-01-08,10:00:00,MON,118.5,118.53,118.5,118.5,428878.9,3619,28
2018-01-08,10:01:00,MON,118.5,118.51,118.5,118.5,210931.0,1780,16
2018-01-08,10:02:00,MON,118.5,118.51,118.49,118.5,411429.95,3472,30
2018-01-08,10:03:00,MON,118.51,118.54,118.51,118.53,248894.0,2100,17
2018-01-08,10:04:00,MON,118.52,118.53,118.52,118.52,74076.0,625,5
2018-01-08,10:05:00,MON,118.52,118.52,118.48,118.48,201331.42,1699,10
2018-01-08,10:06:00,MON,118.5,118.5,118.5,118.5,40882.5,345,3
2018-01-08,10:07:00,MON,118.51,118.51,118.49,118.5,509558.2,4300,17
2018-01-08,10:08:00,MON,118.5,118.5,118.5,118.5,154050.0,1300,11
