date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,08:39:00,NWL,31.98,31.98,31.98,31.98,399845.94,12503,1
2018-01-08,08:46:00,NWL,32.0,32.0,32.0,32.0,64000.0,2000,1
2018-01-08,08:53:00,NWL,32.0,32.0,32.0,32.0,64000.0,2000,1
2018-01-08,09:24:00,NWL,32.0,32.0,32.0,32.0,25600.0,800,2
2018-01-08,09:31:00,NWL,32.1,32.14,32.04,32.11,363393.4,11322,26
2018-01-08,09:32:00,NWL,32.15,32.25,32.12,32.22,212812.99,6614,30
2018-01-08,09:33:00,NWL,32.22,32.27,32.2,32.2,174658.08,5419,37
2018-01-08,09:34:00,NWL,32.19,32.24,32.19,32.24,84200.91,2614,15
2018-01-08,09:35:00,NWL,32.26,32.26,32.22,32.25,147773.07,4583,20
2018-01-08,09:36:00,NWL,32.23,32.26,32.23,32.24,140257.98,4350,17
2018-01-08,09:37:00,NWL,32.23,32.25,32.21,32.25,94979.67,2947,27
2018-01-08,09:38:00,NWL,32.25,32.27,32.24,32.26,449875.25,13950,40
2018-01-08,09:39:00,NWL,32.24,32.25,32.24,32.24,151533.6,4700,8
2018-01-08,09:40:00,NWL,32.24,32.24,32.15,32.16,109463.75,3400,29
2018-01-08,09:41:00,NWL,32.15,32.22,32.15,32.21,235455.46,7315,29
2018-01-08,09:42:00,NWL,32.21,32.21,32.13,32.14,92825.75,2885,27
2018-01-08,09:43:00,NWL,32.15,32.15,32.14,32.15,62905.55,1957,17
2018-01-08,09:44:00,NWL,32.14,32.14,32.08,32.08,289652.68,9021,55
2018-01-08,09:45:00,NWL,32.08,32.08,32.04,32.08,205215.4,6400,23
2018-01-08,09:46:00,NWL,32.09,32.15,32.08,32.11,307468.05,9573,52
2018-01-08,09:47:00,NWL,32.11,32.12,32.09,32.1,161935.11,5044,27
2018-01-08,09:48:00,NWL,32.09,32.11,32.09,32.1,85796.3,2673,25
2018-01-08,09:49:00,NWL,32.11,32.16,32.11,32.12,181563.13,5650,46
2018-01-08,09:50:00,NWL,32.12,32.15,32.11,32.11,682376.8,21244,36
2018-01-08,09:51:00,NWL,32.1,32.11,32.09,32.09,186146.6,5800,19
2018-01-08,09:52:00,NWL,32.08,32.11,32.08,32.11,130124.61,4054,21
2018-01-08,09:53:00,NWL,32.11,32.14,32.08,32.14,215494.9,6712,30
2018-01-08,09:54:00,NWL,32.13,32.13,32.05,32.06,288767.97,9000,43
2018-01-08,09:55:00,NWL,32.04,32.06,32.02,32.05,167808.89,5239,34
2018-01-08,09:56:00,NWL,32.04,32.04,32.01,32.01,75050.82,2344,18
2018-01-08,09:57:00,NWL,32.01,32.07,32.0,32.06,224302.81,7000,44
2018-01-08,09:58:00,NWL,32.06,32.08,32.05,32.08,149987.19,4677,23
2018-01-08,09:59:00,NWL,32.07,32.08,32.03,32.03,74023.58,2309,17
2018-01-08,10:00:00,NWL,32.03,32.04,32.0,32.02,236055.5,7375,50
2018-01-08,10:01:00,NWL,32.02,32.05,32.02,32.04,172979.0,5400,28
2018-01-08,10:02:00,NWL,32.04,32.06,32.04,32.04,460342.05,14364,75
