date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,PEP,118.25,118.47,118.25,118.42,1432270.73,12096,61
2018-01-08,09:32:00,PEP,118.46,118.57,118.44,118.56,2720341.41,22954,81
2018-01-08,09:33:00,PEP,118.57,118.64,118.34,118.43,2042767.05,17240,115
2018-01-08,09:34:00,PEP,118.44,118.44,118.35,118.38,1966978.5,16615,71
2018-01-08,09:35:00,PEP,118.37,118.41,118.18,118.18,2081653.43,17595,137
2018-01-08,09:36:00,PEP,118.18,118.2,118.14,118.2,1568499.55,13274,51
2018-01-08,09:37:00,PEP,118.21,118.42,118.21,118.39,1202728.47,10162,74
2018-01-08,09:38:00,PEP,118.4,118.42,118.17,118.36,2484283.11,20995,133
2018-01-08,09:39:00,PEP,118.35,118.46,118.34,118.36,1558324.11,13163,59
2018-01-08,09:40:00,PEP,118.36,118.36,118.29,118.35,1439613.02,12167,59
2018-01-08,09:41:00,PEP,118.41,118.5,118.4,118.41,1574885.09,13299,30
2018-01-08,09:42:00,PEP,118.43,118.55,118.43,118.5,829563.62,7002,44
2018-01-08,09:43:00,PEP,118.51,118.51,118.4,118.46,1995627.84,16850,60
2018-01-08,09:44:00,PEP,118.47,118.5,118.42,118.45,1046903.1,8838,57
2018-01-08,09:45:00,PEP,118.47,118.53,118.45,118.48,514329.3,4341,36
2018-01-08,09:46:00,PEP,118.47,118.49,118.44,118.47,852929.5,7200,58
2018-01-08,09:47:00,PEP,118.47,118.47,118.39,118.43,1707619.19,14418,94
2018-01-08,09:48:00,PEP,118.43,118.44,118.17,118.36,3631141.83,30701,180
2018-01-08,09:49:00,PEP,118.36,118.39,118.3,118.32,2461921.6,20807,61
2018-01-08,09:50:00,PEP,118.34,118.34,118.29,118.31,755836.65,6388,55
2018-01-08,09:51:00,PEP,118.34,118.34,118.24,118.25,904439.98,7646,71
2018-01-08,09:52:00,PEP,118.23,118.23,118.17,118.18,1153221.09,9757,51
2018-01-08,09:53:00,PEP,118.19,118.28,118.18,118.25,2329469.09,19707,83
2018-01-08,09:54:00,PEP,118.25,118.26,118.16,118.17,1386263.33,11729,63
2018-01-08,09:55:00,PEP,118.16,118.2,118.13,118.17,1723104.0,14582,68
2018-01-08,09:56:00,PEP,118.17,118.22,118.12,118.21,1955650.01,16551,89
2018-01-08,09:57:00,PEP,118.21,118.24,118.05,118.11,2089018.09,17684,145
2018-01-08,09:58:00,PEP,118.11,118.23,118.06,118.23,978246.67,8280,74
2018-01-08,09:59:00,PEP,118.23,118.24,118.16,118.16,1732944.37,14660,107
2018-01-08,10:00:00,PEP,118.15,118.21,118.15,118.19,1375695.25,11641,99
2018-01-08,10:01:00,PEP,118.16,118.19,118.15,118.18,2027787.86,17161,72
2018-01-08,10:02:00,PEP,118.19,118.32,118.17,118.32,2114902.28,17888,109
2018-01-08,10:03:00,PEP,118.34,118.42,118.34,118.41,1386600.53,11713,94
2018-01-08,10:04:00,PEP,118.42,118.47,118.42,118.46,853651.92,7207,64
