date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,PHM,34.6,34.6,34.55,34.6,68351.74,1976,10
2018-01-08,09:32:00,PHM,34.62,34.73,34.6,34.6,988630.76,28509,114
2018-01-08,09:33:00,PHM,34.59,34.59,34.49,34.58,209265.85,6060,43
2018-01-08,09:34:00,PHM,34.54,34.57,34.47,34.52,356901.26,10346,69
2018-01-08,09:35:00,PHM,34.5,34.51,34.46,34.51,291554.33,8452,53
2018-01-08,09:36:00,PHM,34.51,34.53,34.48,34.53,94888.18,2750,24
2018-01-08,09:37:00,PHM,34.52,34.59,34.52,34.59,117610.51,3403,24
2018-01-08,09:38:00,PHM,34.58,34.58,34.54,34.54,193466.96,5600,32
2018-01-08,09:39:00,PHM,34.52,34.52,34.43,34.44,224010.0,6500,56
2018-01-08,09:40:00,PHM,34.45,34.48,34.42,34.48,158205.85,4593,30
2018-01-08,09:41:00,PHM,34.46,34.49,34.46,34.49,86194.0,2500,22
2018-01-08,09:42:00,PHM,34.49,34.5,34.47,34.47,146551.29,4250,39
2018-01-08,09:43:00,PHM,34.47,34.48,34.44,34.45,259068.82,7518,58
2018-01-08,09:44:00,PHM,34.46,34.46,34.42,34.44,234713.16,6814,44
2018-01-08,09:45:00,PHM,34.44,34.45,34.4,34.43,459747.47,13354,80
2018-01-08,09:46:00,PHM,34.43,34.43,34.38,34.38,311714.34,9060,45
2018-01-08,09:47:00,PHM,34.39,34.45,34.39,34.43,348590.9,10130,57
2018-01-08,09:48:00,PHM,34.43,34.46,34.41,34.41,286063.12,8308,54
2018-01-08,09:49:00,PHM,34.41,34.45,34.41,34.45,409386.49,11891,69
2018-01-08,09:50:00,PHM,34.45,34.51,34.44,34.5,318360.9,9236,51
2018-01-08,09:51:00,PHM,34.5,34.53,34.5,34.52,276476.2,8010,59
2018-01-08,09:52:00,PHM,34.51,34.51,34.48,34.48,79482.0,2304,20
2018-01-08,09:53:00,PHM,34.48,34.5,34.47,34.49,262115.04,7601,53
2018-01-08,09:54:00,PHM,34.49,34.54,34.46,34.53,521495.78,15114,111
2018-01-08,09:55:00,PHM,34.53,34.54,34.51,34.53,358999.0,10400,87
2018-01-08,09:56:00,PHM,34.53,34.55,34.48,34.51,359024.5,10400,87
2018-01-08,09:57:00,PHM,34.5,34.64,34.5,34.58,3419436.89,98906,539
2018-01-08,09:58:00,PHM,34.58,34.66,34.58,34.66,1199469.6,34638,116
2018-01-08,09:59:00,PHM,34.66,34.66,34.61,34.61,761639.07,22000,135
2018-01-08,10:00:00,PHM,34.6,34.62,34.6,34.61,861034.89,24883,112
2018-01-08,10:01:00,PHM,34.62,34.62,34.58,34.61,2099551.81,60676,188
2018-01-08,10:02:00,PHM,34.61,34.65,34.6,34.65,216693.78,6260,37
2018-01-08,10:03:00,PHM,34.65,34.7,34.64,34.7,287936.5,8306,50
2018-01-08,10:04:00,PHM,34.7,34.7,34.69,34.69,223582.05,6445,46
2018-01-08,10:05:00,PHM,34.7,34.7,34.69,34.69,242815.87,6999,47
2018-01-08,10:06:00,PHM,34.69,34.69,34.64,34.64,703741.6,20300,127
2018-01-08,10:07:00,PHM,34.64,34.66,34.64,34.65,504889.0,14572,80
