date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,SBUX,59.42,59.67,59.42,59.56,1964404.49,32992,193
2018-01-08,09:32:00,SBUX,59.55,59.56,59.45,59.55,527701.28,8870,65
2018-01-08,09:33:00,SBUX,59.55,59.58,59.47,59.54,1406425.03,23628,163
2018-01-08,09:34:00,SBUX,59.52,59.53,59.45,59.45,1237397.09,20796,122
2018-01-08,09:35:00,SBUX,59.47,59.49,59.27,59.27,2682899.2,45191,306
2018-01-08,09:36:00,SBUX,59.27,59.35,59.21,59.33,2036680.97,34358,207
2018-01-08,09:37:00,SBUX,59.33,59.4,59.3,59.31,3324274.0,56014,195
2018-01-08,09:38:00,SBUX,59.32,59.36,59.3,59.31,1178049.75,19856,94
2018-01-08,09:39:00,SBUX,59.28,59.3,59.23,59.28,673857.43,11370,74
2018-01-08,09:40:00,SBUX,59.28,59.28,59.17,59.2,1209175.78,20423,106
2018-01-08,09:41:00,SBUX,59.2,59.23,59.19,59.22,359829.88,6077,45
2018-01-08,09:42:00,SBUX,59.21,59.3,59.18,59.3,996621.4,16829,113
2018-01-08,09:43:00,SBUX,59.3,59.3,59.21,59.21,1471020.88,24825,158
2018-01-08,09:44:00,SBUX,59.21,59.24,59.2,59.22,2072634.02,34999,186
2018-01-08,09:45:00,SBUX,59.23,59.3,59.21,59.24,2287935.98,38600,225
2018-01-08,09:46:00,SBUX,59.24,59.28,59.22,59.22,1260372.49,21273,87
2018-01-08,09:47:00,SBUX,59.22,59.23,59.21,59.21,656382.15,11085,56
2018-01-08,09:48:00,SBUX,59.22,59.22,59.2,59.2,648589.01,10954,46
2018-01-08,09:49:00,SBUX,59.21,59.25,59.2,59.24,754277.08,12736,94
2018-01-08,09:50:00,SBUX,59.25,59.26,59.25,59.26,618127.16,10432,50
2018-01-08,09:51:00,SBUX,59.26,59.27,59.25,59.25,581891.63,9819,62
2018-01-08,09:52:00,SBUX,59.25,59.27,59.24,59.27,552166.76,9318,78
2018-01-08,09:53:00,SBUX,59.26,59.27,59.24,59.25,502348.99,8477,48
2018-01-08,09:54:00,SBUX,59.24,59.24,59.2,59.2,4184822.89,70648,80
2018-01-08,09:55:00,SBUX,59.21,59.24,59.19,59.2,1002419.05,16930,116
2018-01-08,09:56:00,SBUX,59.2,59.21,59.18,59.19,663691.98,11213,64
2018-01-08,09:57:00,SBUX,59.18,59.19,59.17,59.19,447239.3,7557,56
2018-01-08,09:58:00,SBUX,59.18,59.18,59.13,59.14,685103.57,11581,76
2018-01-08,09:59:00,SBUX,59.15,59.15,59.09,59.1,747588.71,12648,64
2018-01-08,10:00:00,SBUX,59.09,59.18,59.09,59.16,834556.41,14113,96
2018-01-08,10:01:00,SBUX,59.16,59.17,59.13,59.14,423353.08,7157,53
2018-01-08,10:02:00,SBUX,59.14,59.14,59.11,59.12,609126.94,10303,53
2018-01-08,10:03:00,SBUX,59.12,59.12,59.09,59.09,245567.18,4155,31
2018-01-08,10:04:00,SBUX,59.08,59.09,59.03,59.09,754290.55,12772,84
2018-01-08,10:05:00,SBUX,59.08,59.09,59.06,59.07,527125.74,8923,65
2018-01-08,10:06:00,SBUX,59.06,59.08,59.05,59.06,531042.38,8991,46
2018-01-08,10:07:00,SBUX,59.06,59.06,59.04,59.04,796043.66,13481,51
2018-01-08,10:08:00,SBUX,59.03,59.05,59.01,59.04,663891.51,11246,89
2018-01-08,10:09:00,SBUX,59.04,59.05,59.03,59.03,772525.41,13086,99
2018-01-08,10:10:00,SBUX,59.04,59.05,59.02,59.02,838720.73,14206,70
2018-01-08,10:11:00,SBUX,59.02,59.04,59.02,59.03,759882.18,12873,95
2018-01-08,10:12:00,SBUX,59.04,59.07,59.04,59.05,550203.74,9317,59
2018-01-08,10:13:00,SBUX,59.05,59.06,58.94,58.96,2574625.62,43640,276
2018-01-08,10:14:00,SBUX,58.96,58.97,58.89,58.91,2429379.49,41231,179
2018-01-08,10:15:00,SBUX,58.92,58.98,58.92,58.98,1751818.53,29724,173
2018-01-08,10:16:00,SBUX,58.98,59.0,58.98,58.99,842226.84,14278,103
2018-01-08,10:17:00,SBUX,58.99,59.0,58.97,58.99,733146.37,12427,74
2018-01-08,10:18:00,SBUX,58.99,59.01,58.96,58.97,1534908.19,26020,143
2018-01-08,10:19:00,SBUX,58.97,58.98,58.96,58.96,560631.17,9507,59
2018-01-08,10:20:00,SBUX,58.97,58.98,58.96,58.97,950244.27,16114,107
2018-01-08,10:21:00,SBUX,58.98,58.98,58.96,58.97,843701.5,14306,101
2018-01-08,10:22:00,SBUX,58.97,58.97,58.95,58.96,264852.1,4492,40
2018-01-08,10:23:00,SBUX,58.95,58.96,58.95,58.95,228200.13,3871,25
2018-01-08,10:24:00,SBUX,58.95,58.95,58.86,58.9,3184378.81,54063,313
2018-01-08,10:25:00,SBUX,58.9,58.9,58.88,58.88,466664.74,7924,48
2018-01-08,10:26:00,SBUX,58.88,58.9,58.88,58.88,275837.24,4684,34
2018-01-08,10:27:00,SBUX,58.89,58.9,58.86,58.89,511924.13,8694,58
2018-01-08,10:28:00,SBUX,58.89,58.89,58.86,58.86,421776.15,7164,37
2018-01-08,10:29:00,SBUX,58.87,58.88,58.86,58.87,427293.76,7258,41
2018-01-08,10:30:00,SBUX,58.87,58.87,58.85,58.85,622442.6,10575,71
2018-01-08,10:31:00,SBUX,58.86,58.89,58.86,58.89,1180716.19,20057,110
2018-01-08,10:32:00,SBUX,58.89,58.91,58.84,58.85,2192278.36,37233,141
2018-01-08,10:33:00,SBUX,58.84,58.85,58.83,58.83,1858980.47,31593,107
2018-01-08,10:34:00,SBUX,58.83,58.84,58.73,58.75,2341252.45,39833,169
2018-01-08,10:35:00,SBUX,58.76,58.78,58.72,58.76,4716278.4,80284,179
2018-01-08,10:36:00,SBUX,58.77,58.77,58.72,58.75,1051382.96,17900,104
2018-01-08,10:37:00,SBUX,58.75,58.75,58.7,58.72,2633416.87,44855,153
2018-01-08,10:38:00,SBUX,58.71,58.72,58.69,58.7,2612174.48,44500,88
2018-01-08,10:39:00,SBUX,58.7,58.7,58.64,58.65,1115257.53,19007,99
2018-01-08,10:40:00,SBUX,58.66,58.68,58.6,58.62,1800426.94,30708,161
2018-01-08,10:41:00,SBUX,58.61,58.63,58.59,58.62,4243836.01,72406,210
2018-01-08,10:42:00,SBUX,58.63,58.63,58.6,58.61,1321966.2,22555,122
2018-01-08,10:43:00,SBUX,58.61,58.62,58.57,58.59,1459498.99,24910,123
2018-01-08,10:44:00,SBUX,58.6,58.64,58.57,58.61,6017000.97,102705,295
2018-01-08,10:45:00,SBUX,58.61,58.61,58.56,58.59,956448.28,16327,129
2018-01-08,10:46:00,SBUX,58.6,58.68,58.59,58.66,1550024.79,26440,113
2018-01-08,10:47:00,SBUX,58.67,58.68,58.64,58.68,1713664.83,29217,125
2018-01-08,10:48:00,SBUX,58.68,58.73,58.68,58.72,1734979.8,29554,155
2018-01-08,10:49:00,SBUX,58.73,58.81,58.73,58.8,1305557.94,22215,118
2018-01-08,10:50:00,SBUX,58.8,58.88,58.8,58.88,659802.4,11216,80
2018-01-08,10:51:00,SBUX,58.88,58.91,58.88,58.9,1392525.05,23646,117
2018-01-08,10:52:00,SBUX,58.89,58.9,58.86,58.86,435215.2,7392,53
2018-01-08,10:53:00,SBUX,58.86,58.87,58.82,58.85,480123.54,8159,50
2018-01-08,10:54:00,SBUX,58.84,58.88,58.84,58.88,207642.49,3528,19
2018-01-08,10:55:00,SBUX,58.88,58.89,58.88,58.89,243126.32,4129,26
