date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,07:18:00,TGT,67.0,67.0,67.0,67.0,6700.0,100,1
2018-01-08,07:21:00,TGT,67.12,67.12,67.12,67.12,6712.0,100,1
2018-01-08,07:28:00,TGT,66.99,66.99,66.99,66.99,33495.0,500,1
2018-01-08,07:29:00,TGT,66.99,66.99,66.99,66.99,113883.0,1700,4
2018-01-08,07:31:00,TGT,66.99,66.99,66.99,66.99,20097.0,300,1
2018-01-08,07:36:00,TGT,66.95,66.95,66.95,66.95,8435.7,126,1
2018-01-08,07:37:00,TGT,67.1,67.1,67.1,67.1,6710.0,100,1
2018-01-08,07:45:00,TGT,67.89,67.91,67.82,67.91,334774.5,4930,40
2018-01-08,07:57:00,TGT,67.75,67.75,67.75,67.75,33875.0,500,2
2018-01-08,07:58:00,TGT,67.75,67.75,67.75,67.75,47425.0,700,4
2018-01-08,08:01:00,TGT,67.74,67.74,67.5,67.5,20274.0,300,2
2018-01-08,08:02:00,TGT,67.52,67.52,67.52,67.52,6752.0,100,1
2018-01-08,08:05:00,TGT,67.52,67.52,67.5,67.5,20254.0,300,2
2018-01-08,08:09:00,TGT,67.5,67.5,67.5,67.5,6750.0,100,1
2018-01-08,08:14:00,TGT,67.11,67.5,67.1,67.24,221527.0,3300,9
2018-01-08,08:15:00,TGT,67.15,67.15,67.15,67.15,13430.0,200,1
2018-01-08,08:18:00,TGT,67.15,67.15,67.15,67.15,53720.0,800,2
2018-01-08,08:19:00,TGT,67.17,67.17,67.17,67.17,6717.0,100,1
2018-01-08,08:30:00,TGT,67.21,67.21,67.2,67.2,13441.0,200,2
2018-01-08,08:31:00,TGT,67.2,67.2,67.2,67.2,6720.0,100,1
2018-01-08,08:33:00,TGT,67.25,67.37,67.2,67.37,183416.36,2728,6
2018-01-08,08:34:00,TGT,67.31,67.31,67.31,67.31,60579.0,900,5
2018-01-08,08:36:00,TGT,67.31,67.31,67.31,67.31,47117.0,700,2
2018-01-08,08:37:00,TGT,67.41,67.41,67.41,67.41,13482.0,200,2
2018-01-08,08:38:00,TGT,67.46,67.46,67.46,67.46,6746.0,100,1
2018-01-08,08:39:00,TGT,67.46,67.46,67.45,67.46,74204.53,1100,3
2018-01-08,08:42:00,TGT,67.4,67.4,67.4,67.4,62345.0,925,1
2018-01-08,08:45:00,TGT,67.3,67.3,67.3,67.3,6730.0,100,1
2018-01-08,08:48:00,TGT,67.54,67.54,67.54,67.54,33770.0,500,1
2018-01-08,08:50:00,TGT,67.37,67.37,67.37,67.37,6737.0,100,1
2018-01-08,08:52:00,TGT,67.37,67.37,67.37,67.37,6737.0,100,1
2018-01-08,08:57:00,TGT,67.4,67.4,67.4,67.4,13480.0,200,1
2018-01-08,09:14:00,TGT,67.26,67.26,67.26,67.26,26904.0,400,1
2018-01-08,09:16:00,TGT,67.15,67.18,67.15,67.18,33581.0,500,4
2018-01-08,09:17:00,TGT,67.18,67.18,67.18,67.18,6718.0,100,1
2018-01-08,09:18:00,TGT,67.15,67.15,67.15,67.15,10072.5,150,1
2018-01-08,09:21:00,TGT,67.15,67.15,67.15,67.15,13430.0,200,2
2018-01-08,09:25:00,TGT,67.18,67.2,67.18,67.2,40318.0,600,4
2018-01-08,09:26:00,TGT,67.15,67.16,67.15,67.15,248459.0,3700,28
2018-01-08,09:27:00,TGT,67.15,67.37,67.15,67.37,80671.0,1200,9
2018-01-08,09:28:00,TGT,67.34,67.34,67.33,67.33,33669.0,500,3
2018-01-08,09:30:00,TGT,67.18,67.18,67.18,67.18,40308.0,600,5
2018-01-08,09:31:00,TGT,67.2,67.47,67.15,67.47,2641978.17,39222,228
2018-01-08,09:32:00,TGT,67.47,67.95,67.46,67.94,4843132.29,71513,299
2018-01-08,09:33:00,TGT,67.94,68.07,67.81,67.9,8887345.21,130814,495
2018-01-08,09:34:00,TGT,67.89,67.89,67.64,67.68,2922834.47,43107,251
2018-01-08,09:35:00,TGT,67.69,68.06,67.56,67.77,2096586.59,30922,160
2018-01-08,09:36:00,TGT,67.8,67.97,67.74,67.95,1230859.24,18144,57
2018-01-08,09:37:00,TGT,67.96,68.09,67.88,67.96,2383441.71,35065,115
2018-01-08,09:38:00,TGT,67.96,68.0,67.82,67.91,3872765.17,57025,289
2018-01-08,09:39:00,TGT,67.91,67.97,67.85,67.95,3154964.78,46448,244
2018-01-08,09:40:00,TGT,67.95,67.95,67.81,67.89,2974434.46,43823,231
2018-01-08,09:41:00,TGT,67.87,67.99,67.85,67.99,2141385.72,31533,172
2018-01-08,09:42:00,TGT,67.98,68.16,67.96,68.06,3189370.51,46853,231
2018-01-08,09:43:00,TGT,68.08,68.31,68.08,68.29,3595919.87,52747,229
2018-01-08,09:44:00,TGT,68.31,68.32,68.18,68.21,1818994.24,26656,117
2018-01-08,09:45:00,TGT,68.2,68.3,68.03,68.03,1948112.56,28575,182
2018-01-08,09:46:00,TGT,68.05,68.24,68.03,68.2,5127283.1,75221,468
2018-01-08,09:47:00,TGT,68.17,68.19,67.9,68.02,4951906.31,72797,377
2018-01-08,09:48:00,TGT,68.0,68.16,67.95,67.96,4402629.85,64695,341
2018-01-08,09:49:00,TGT,67.97,68.17,67.97,68.0,5244527.6,77065,277
2018-01-08,09:50:00,TGT,68.02,68.02,67.68,67.69,3300534.4,48651,286
2018-01-08,09:51:00,TGT,67.69,67.72,67.52,67.53,2003354.11,29613,188
2018-01-08,09:52:00,TGT,67.56,68.03,67.56,68.01,10011374.65,147509,1008
2018-01-08,09:53:00,TGT,68.0,68.03,67.73,67.78,2246398.67,33102,217
2018-01-08,09:54:00,TGT,67.78,67.87,67.63,67.76,1508768.3,22260,142
2018-01-08,09:55:00,TGT,67.73,67.8,67.67,67.76,1355040.9,20006,151
2018-01-08,09:56:00,TGT,67.78,67.78,67.64,67.66,1089790.37,16099,110
