date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,XL,34.5,34.5,34.42,34.42,95616.67,2773,15
2018-01-08,09:32:00,XL,34.43,34.52,34.43,34.47,102070.66,2962,23
2018-01-08,09:33:00,XL,34.46,34.46,34.34,34.45,191971.2,5582,27
2018-01-08,09:34:00,XL,34.44,34.53,34.39,34.53,230860.5,6700,51
2018-01-08,09:35:00,XL,34.52,34.52,34.48,34.48,65573.49,1901,16
2018-01-08,09:36:00,XL,34.5,34.51,34.48,34.48,81768.0,2370,20
2018-01-08,09:37:00,XL,34.49,34.5,34.43,34.47,193008.0,5600,45
2018-01-08,09:38:00,XL,34.47,34.49,34.46,34.49,65487.0,1900,16
2018-01-08,09:39:00,XL,34.46,34.49,34.43,34.45,65472.0,1900,17
2018-01-08,09:40:00,XL,34.45,34.51,34.43,34.51,93144.5,2703,25
2018-01-08,09:41:00,XL,34.52,34.55,34.48,34.55,67298.0,1950,18
2018-01-08,09:42:00,XL,34.53,34.54,34.53,34.54,6907.0,200,2
2018-01-08,09:43:00,XL,34.48,34.5,34.47,34.49,100018.0,2900,25
2018-01-08,09:45:00,XL,34.5,34.52,34.46,34.49,143734.52,4167,31
2018-01-08,09:46:00,XL,34.48,34.49,34.47,34.47,92781.48,2691,21
2018-01-08,09:47:00,XL,34.47,34.48,34.47,34.48,17238.0,500,5
2018-01-08,09:48:00,XL,34.47,34.47,34.39,34.4,375105.5,10900,96
2018-01-08,09:49:00,XL,34.39,34.43,34.39,34.41,74071.73,2153,20
2018-01-08,09:50:00,XL,34.42,34.42,34.42,34.42,17210.0,500,3
2018-01-08,09:51:00,XL,34.43,34.46,34.41,34.44,170611.4,4955,37
2018-01-08,09:52:00,XL,34.45,34.46,34.37,34.37,381952.54,11090,58
2018-01-08,09:53:00,XL,34.36,34.38,34.31,34.31,332853.54,9689,43
2018-01-08,09:54:00,XL,34.33,34.33,34.28,34.31,109809.0,3200,23
2018-01-08,09:55:00,XL,34.3,34.3,34.28,34.29,87111.49,2540,13
2018-01-08,09:56:00,XL,34.29,34.35,34.29,34.34,175113.0,5100,42
2018-01-08,09:57:00,XL,34.34,34.39,34.34,34.38,79216.1,2306,19
2018-01-08,09:58:00,XL,34.4,34.42,34.4,34.42,71894.38,2089,9
2018-01-08,09:59:00,XL,34.41,34.42,34.4,34.42,58492.0,1700,13
2018-01-08,10:00:00,XL,34.4,34.42,34.4,34.41,27528.0,800,8
2018-01-08,10:01:00,XL,34.41,34.41,34.38,34.39,77453.76,2252,18
2018-01-08,10:02:00,XL,34.4,34.4,34.36,34.37,68957.78,2006,19
2018-01-08,10:03:00,XL,34.37,34.37,34.37,34.37,17184.5,500,5
2018-01-08,10:04:00,XL,34.37,34.37,34.36,34.36,48115.0,1400,13
2018-01-08,10:05:00,XL,34.36,34.4,34.36,34.39,137382.66,3996,34
2018-01-08,10:06:00,XL,34.38,34.4,34.37,34.37,123782.5,3600,31
2018-01-08,10:07:00,XL,34.36,34.36,34.34,34.34,85741.67,2496,12
2018-01-08,10:08:00,XL,34.34,34.34,34.34,34.34,67407.17,1963,19
2018-01-08,10:09:00,XL,34.34,34.34,34.33,34.34,72109.0,2100,16
2018-01-08,10:10:00,XL,34.33,34.34,34.31,34.31,151520.73,4414,34
2018-01-08,10:11:00,XL,34.3,34.35,34.3,34.34,159294.46,4642,37
2018-01-08,10:12:00,XL,34.34,34.34,34.34,34.34,20604.0,600,6
2018-01-08,10:13:00,XL,34.33,34.33,34.3,34.31,41184.0,1200,12
2018-01-08,10:14:00,XL,34.31,34.31,34.3,34.3,27445.0,800,8
2018-01-08,10:15:00,XL,34.29,34.31,34.29,34.31,51684.1,1507,14
2018-01-08,10:16:00,XL,34.3,34.32,34.3,34.32,75490.0,2200,20
2018-01-08,10:17:00,XL,34.33,34.33,34.33,34.33,360412.5,10500,18
2018-01-08,10:18:00,XL,34.32,34.35,34.31,34.35,245896.25,7162,44
2018-01-08,10:19:00,XL,34.34,34.35,34.34,34.35,27473.0,800,8
2018-01-08,10:20:00,XL,34.33,34.34,34.33,34.34,8583.85,250,2
2018-01-08,10:21:00,XL,34.34,34.34,34.28,34.28,82353.5,2400,23
