date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,XRAY,67.9,67.9,67.9,67.9,13580.0,200,1
2018-01-08,09:34:00,XRAY,67.74,67.74,67.69,67.74,182814.8,2700,22
2018-01-08,09:35:00,XRAY,67.7,67.74,67.69,67.74,37239.15,550,5
2018-01-08,09:37:00,XRAY,67.69,67.69,67.69,67.69,43321.6,640,4
2018-01-08,09:39:00,XRAY,67.69,67.69,67.52,67.52,128462.0,1900,19
2018-01-08,09:40:00,XRAY,67.53,67.53,67.43,67.43,47225.0,700,5
2018-01-08,09:41:00,XRAY,67.53,67.64,67.53,67.54,229776.14,3400,28
2018-01-08,09:42:00,XRAY,67.55,67.59,67.55,67.55,135104.0,2000,6
2018-01-08,09:43:00,XRAY,67.55,67.69,67.5,67.63,270345.0,4000,26
2018-01-08,09:44:00,XRAY,67.7,67.7,67.69,67.69,13538.5,200,2
2018-01-08,09:45:00,XRAY,67.69,67.69,67.68,67.68,47381.0,700,5
2018-01-08,09:46:00,XRAY,67.68,67.77,67.66,67.77,260610.32,3849,35
2018-01-08,09:47:00,XRAY,67.69,67.77,67.69,67.76,33874.5,500,5
2018-01-08,09:48:00,XRAY,67.76,67.76,67.69,67.69,54181.5,800,8
2018-01-08,09:49:00,XRAY,67.75,67.78,67.75,67.78,94858.0,1400,11
2018-01-08,09:50:00,XRAY,67.79,67.81,67.79,67.81,33903.0,500,5
2018-01-08,09:51:00,XRAY,67.81,67.84,67.81,67.84,40689.0,600,6
2018-01-08,09:52:00,XRAY,67.84,67.87,67.84,67.87,33926.16,500,4
2018-01-08,09:53:00,XRAY,67.84,67.88,67.83,67.85,67846.44,1000,9
2018-01-08,09:55:00,XRAY,67.82,67.82,67.74,67.74,47455.0,700,7
2018-01-08,09:56:00,XRAY,67.71,67.71,67.71,67.71,47397.0,700,2
2018-01-08,09:57:00,XRAY,67.67,67.67,67.67,67.67,6767.0,100,1
2018-01-08,09:58:00,XRAY,67.72,67.75,67.72,67.75,60023.43,886,4
2018-01-08,09:59:00,XRAY,67.75,67.75,67.75,67.75,6775.0,100,1
2018-01-08,10:00:00,XRAY,67.73,67.73,67.69,67.69,33850.5,500,5
2018-01-08,10:01:00,XRAY,67.72,67.72,67.69,67.69,27079.0,400,2
2018-01-08,10:02:00,XRAY,67.67,67.67,67.67,67.67,6767.0,100,1
2018-01-08,10:03:00,XRAY,67.68,67.75,67.68,67.75,1415945.84,20922,16
2018-01-08,10:04:00,XRAY,67.68,67.83,67.68,67.83,203163.27,2998,15
2018-01-08,10:05:00,XRAY,67.84,67.84,67.76,67.76,115252.0,1700,17
2018-01-08,10:06:00,XRAY,67.77,67.77,67.77,67.77,13553.0,200,1
2018-01-08,10:07:00,XRAY,67.74,67.74,67.74,67.74,6773.7,100,1
2018-01-08,10:08:00,XRAY,67.78,67.79,67.76,67.78,48798.89,720,6
2018-01-08,10:09:00,XRAY,67.74,67.77,67.74,67.77,115175.0,1700,12
2018-01-08,10:10:00,XRAY,67.79,67.79,67.79,67.79,13558.0,200,2
2018-01-08,10:11:00,XRAY,67.79,67.79,67.79,67.79,27116.0,400,4
2018-01-08,10:14:00,XRAY,67.8,67.84,67.8,67.84,74593.0,1100,10
2018-01-08,10:15:00,XRAY,67.82,67.82,67.8,67.8,94931.8,1400,5
2018-01-08,10:16:00,XRAY,67.82,67.82,67.8,67.8,189853.0,2800,21
2018-01-08,10:17:00,XRAY,67.79,67.82,67.71,67.71,515142.5,7600,68
2018-01-08,10:18:00,XRAY,67.76,67.77,67.74,67.77,74533.0,1100,6
2018-01-08,10:19:00,XRAY,67.76,67.8,67.76,67.8,31851.5,470,2
2018-01-08,10:21:00,XRAY,67.8,67.8,67.8,67.8,6780.0,100,1
2018-01-08,10:22:00,XRAY,67.77,67.79,67.76,67.76,87017.68,1284,11
2018-01-08,10:24:00,XRAY,67.8,67.83,67.8,67.83,40683.0,600,6
2018-01-08,10:28:00,XRAY,67.85,67.85,67.85,67.85,10177.5,150,1
2018-01-08,10:29:00,XRAY,67.86,67.89,67.86,67.89,81449.0,1200,11
2018-01-08,10:31:00,XRAY,67.87,67.89,67.87,67.89,61697.83,909,4
2018-01-08,10:35:00,XRAY,67.89,67.89,67.87,67.88,142959.34,2106,20
2018-01-08,10:36:00,XRAY,67.87,67.87,67.85,67.85,54289.0,800,7
2018-01-08,10:37:00,XRAY,67.82,67.82,67.82,67.82,27128.0,400,4
2018-01-08,10:39:00,XRAY,67.83,67.83,67.81,67.81,16954.32,250,2
2018-01-08,10:40:00,XRAY,67.84,67.86,67.83,67.83,77406.44,1141,11
2018-01-08,10:41:00,XRAY,67.83,67.83,67.81,67.83,74607.0,1100,11
2018-01-08,10:42:00,XRAY,67.79,67.79,67.79,67.79,33895.0,500,3
2018-01-08,10:44:00,XRAY,67.77,67.77,67.77,67.77,6777.0,100,1
2018-01-08,10:45:00,XRAY,67.8,67.81,67.8,67.81,47461.0,700,7
2018-01-08,10:46:00,XRAY,67.82,67.83,67.8,67.8,47473.0,700,7
2018-01-08,10:47:00,XRAY,67.85,67.85,67.85,67.85,20355.0,300,3
2018-01-08,10:48:00,XRAY,67.85,67.85,67.85,67.85,27138.0,400,2
2018-01-08,10:50:00,XRAY,67.86,67.86,67.83,67.83,27135.0,400,4
2018-01-08,10:54:00,XRAY,67.82,67.82,67.82,67.82,27128.0,400,3
2018-01-08,10:55:00,XRAY,67.85,67.86,67.85,67.86,47497.0,700,7
2018-01-08,10:57:00,XRAY,67.88,67.88,67.85,67.85,45337.84,668,3
2018-01-08,10:58:00,XRAY,67.86,67.87,67.86,67.87,67864.0,1000,6
2018-01-08,10:59:00,XRAY,67.86,67.86,67.84,67.84,104698.56,1543,14
2018-01-08,11:00:00,XRAY,67.83,67.83,67.83,67.83,6783.0,100,1
2018-01-08,11:01:00,XRAY,67.82,67.82,67.79,67.79,40687.0,600,6
2018-01-08,11:02:00,XRAY,67.79,67.79,67.76,67.76,47437.0,700,5
2018-01-08,11:03:00,XRAY,67.75,67.75,67.75,67.75,6775.0,100,1
2018-01-08,11:04:00,XRAY,67.78,67.83,67.77,67.83,127803.0,1885,16
2018-01-08,11:07:00,XRAY,67.85,67.86,67.84,67.86,40711.0,600,6
2018-01-08,11:08:00,XRAY,67.85,67.85,67.82,67.82,217089.5,3200,30
2018-01-08,11:10:00,XRAY,67.79,67.79,67.79,67.79,8338.18,123,1
2018-01-08,11:12:00,XRAY,67.81,67.81,67.78,67.8,393255.95,5800,18
2018-01-08,11:13:00,XRAY,67.8,67.8,67.8,67.8,47457.5,700,7
2018-01-08,11:14:00,XRAY,67.8,67.8,67.8,67.8,13560.0,200,2
2018-01-08,11:16:00,XRAY,67.79,67.82,67.79,67.82,244149.0,3600,2
2018-01-08,11:17:00,XRAY,67.81,67.81,67.81,67.81,6780.5,100,1
2018-01-08,11:18:00,XRAY,67.81,67.83,67.81,67.83,128118.37,1889,14
2018-01-08,11:19:00,XRAY,67.84,67.89,67.84,67.89,269418.03,3970,29
2018-01-08,11:20:00,XRAY,67.9,67.9,67.87,67.9,81464.96,1200,7
2018-01-08,11:21:00,XRAY,67.9,67.95,67.9,67.95,67919.0,1000,10
2018-01-08,11:22:00,XRAY,67.95,67.95,67.92,67.94,129067.99,1900,18
2018-01-08,11:23:00,XRAY,67.91,67.94,67.91,67.93,37085.45,546,5
2018-01-08,11:24:00,XRAY,67.92,67.93,67.92,67.93,27170.0,400,4
2018-01-08,11:25:00,XRAY,67.93,67.93,67.93,67.93,27171.98,400,4
2018-01-08,11:26:00,XRAY,67.93,67.95,67.93,67.95,129361.62,1904,10
2018-01-08,11:27:00,XRAY,67.97,67.97,67.95,67.97,41048.82,604,5
2018-01-08,11:28:00,XRAY,67.97,68.0,67.97,68.0,74782.25,1100,10
2018-01-08,11:29:00,XRAY,68.0,68.0,67.99,68.0,54392.49,800,5
2018-01-08,11:30:00,XRAY,68.0,68.06,67.98,68.04,1399300.5,20573,60
2018-01-08,11:31:00,XRAY,68.03,68.07,68.03,68.06,95953.3,1410,8
2018-01-08,11:32:00,XRAY,68.06,68.06,68.05,68.05,27221.0,400,4
2018-01-08,11:33:00,XRAY,68.06,68.06,68.05,68.06,27222.5,400,4
2018-01-08,11:34:00,XRAY,68.06,68.07,68.04,68.07,61254.0,900,9
2018-01-08,11:35:00,XRAY,68.07,68.12,68.07,68.12,200306.82,2941,24
2018-01-08,11:36:00,XRAY,68.12,68.12,68.12,68.12,13624.7,200,1
2018-01-08,11:37:00,XRAY,68.11,68.12,68.11,68.12,169465.12,2488,22
2018-01-08,11:38:00,XRAY,68.12,68.12,68.11,68.12,47683.0,700,7
2018-01-08,11:39:00,XRAY,68.12,68.15,68.12,68.15,196902.56,2890,6
2018-01-08,11:40:00,XRAY,68.14,68.15,68.14,68.15,115835.79,1700,5
2018-01-08,11:41:00,XRAY,68.15,68.17,68.14,68.16,116126.7,1704,13
2018-01-08,11:42:00,XRAY,68.15,68.15,68.15,68.15,35915.74,527,2
2018-01-08,11:43:00,XRAY,68.16,68.18,68.16,68.18,129537.98,1900,9
2018-01-08,11:44:00,XRAY,68.17,68.18,68.17,68.18,34087.39,500,3
2018-01-08,11:45:00,XRAY,68.21,68.21,68.21,68.21,61389.0,900,4
2018-01-08,11:46:00,XRAY,68.2,68.2,68.2,68.2,27280.0,400,4
2018-01-08,11:47:00,XRAY,68.2,68.22,68.18,68.2,150033.5,2200,22
2018-01-08,11:48:00,XRAY,68.19,68.2,68.19,68.2,27279.0,400,4
2018-01-08,11:49:00,XRAY,68.21,68.21,68.21,68.21,6821.0,100,1
2018-01-08,11:50:00,XRAY,68.19,68.22,68.19,68.21,27283.49,400,4
2018-01-08,11:51:00,XRAY,68.21,68.23,68.21,68.23,68221.5,1000,10
2018-01-08,11:52:00,XRAY,68.2,68.22,68.19,68.22,50943.61,747,4
2018-01-08,11:54:00,XRAY,68.19,68.23,68.19,68.23,164319.59,2409,24
2018-01-08,11:55:00,XRAY,68.22,68.24,68.22,68.24,20470.0,300,3
2018-01-08,11:56:00,XRAY,68.24,68.24,68.24,68.24,27296.0,400,3
2018-01-08,11:58:00,XRAY,68.26,68.26,68.26,68.26,20478.0,300,3
2018-01-08,11:59:00,XRAY,68.27,68.27,68.23,68.23,136493.89,2000,14
2018-01-08,12:00:00,XRAY,68.24,68.25,68.23,68.23,225203.96,3300,17
2018-01-08,12:01:00,XRAY,68.24,68.24,68.19,68.19,170524.5,2500,21
2018-01-08,12:02:00,XRAY,68.17,68.19,68.15,68.16,171850.91,2521,23
2018-01-08,12:03:00,XRAY,68.16,68.16,68.11,68.11,13627.0,200,2
2018-01-08,12:04:00,XRAY,68.13,68.13,68.13,68.13,43874.05,644,1
2018-01-08,12:07:00,XRAY,68.14,68.14,68.13,68.13,42719.69,627,5
2018-01-08,12:08:00,XRAY,68.12,68.12,68.12,68.12,6812.0,100,1
2018-01-08,12:10:00,XRAY,68.11,68.11,68.07,68.07,118551.14,1741,16
2018-01-08,12:12:00,XRAY,68.06,68.07,68.04,68.07,202952.28,2982,13
2018-01-08,12:14:00,XRAY,68.11,68.15,68.11,68.15,61317.0,900,8
2018-01-08,12:15:00,XRAY,68.12,68.12,68.12,68.12,6812.0,100,1
2018-01-08,12:16:00,XRAY,68.14,68.14,68.14,68.14,6814.0,100,1
2018-01-08,12:17:00,XRAY,68.12,68.15,68.12,68.15,27251.03,400,2
2018-01-08,12:20:00,XRAY,68.11,68.17,68.11,68.17,388182.89,5696,45
2018-01-08,12:21:00,XRAY,68.16,68.16,68.14,68.15,201447.4,2956,22
2018-01-08,12:22:00,XRAY,68.13,68.13,68.13,68.13,6813.0,100,1
2018-01-08,12:24:00,XRAY,68.15,68.15,68.15,68.15,6815.0,100,1
2018-01-08,12:25:00,XRAY,68.14,68.14,68.14,68.14,27256.0,400,4
2018-01-08,12:26:00,XRAY,68.13,68.13,68.13,68.13,27252.0,400,4
2018-01-08,12:28:00,XRAY,68.14,68.14,68.12,68.12,13626.0,200,2
2018-01-08,12:29:00,XRAY,68.12,68.12,68.09,68.09,74920.0,1100,11
2018-01-08,12:31:00,XRAY,68.06,68.06,68.06,68.06,6805.5,100,1
2018-01-08,12:32:00,XRAY,68.05,68.05,68.05,68.05,6805.0,100,1
2018-01-08,12:33:00,XRAY,68.07,68.07,68.04,68.07,129304.92,1900,14
2018-01-08,12:35:00,XRAY,68.1,68.1,68.07,68.07,29274.27,430,4
2018-01-08,12:36:00,XRAY,68.08,68.08,68.08,68.08,6808.0,100,1
2018-01-08,12:37:00,XRAY,68.07,68.08,68.07,68.08,29819.46,438,2
2018-01-08,12:38:00,XRAY,68.09,68.13,68.09,68.13,143033.0,2100,17
2018-01-08,12:39:00,XRAY,68.13,68.13,68.13,68.13,6813.0,100,1
2018-01-08,12:41:00,XRAY,68.1,68.1,68.1,68.1,6810.0,100,1
2018-01-08,12:43:00,XRAY,68.12,68.14,68.11,68.11,47691.0,700,7
2018-01-08,12:44:00,XRAY,68.11,68.11,68.11,68.11,6811.0,100,1
2018-01-08,12:46:00,XRAY,68.12,68.12,68.1,68.1,60147.84,883,3
2018-01-08,12:48:00,XRAY,68.14,68.15,68.14,68.14,34069.5,500,5
2018-01-08,12:49:00,XRAY,68.13,68.13,68.13,68.13,6813.0,100,1
2018-01-08,12:50:00,XRAY,68.15,68.18,68.15,68.16,156773.0,2300,19
2018-01-08,12:51:00,XRAY,68.16,68.19,68.15,68.17,61355.0,900,9
2018-01-08,12:52:00,XRAY,68.17,68.17,68.17,68.17,13634.0,200,2
2018-01-08,12:53:00,XRAY,68.18,68.18,68.18,68.18,122721.0,1800,11
2018-01-08,12:54:00,XRAY,68.17,68.17,68.16,68.17,122699.0,1800,16
2018-01-08,12:55:00,XRAY,68.17,68.17,68.17,68.17,20451.0,300,3
2018-01-08,12:56:00,XRAY,68.14,68.17,68.14,68.15,65906.22,967,8
2018-01-08,12:57:00,XRAY,68.16,68.16,68.16,68.16,6815.5,100,1
2018-01-08,12:58:00,XRAY,68.16,68.16,68.14,68.14,18263.84,268,2
2018-01-08,13:00:00,XRAY,68.13,68.13,68.13,68.13,6813.0,100,1
2018-01-08,13:01:00,XRAY,68.13,68.14,68.13,68.14,20441.4,300,2
2018-01-08,13:02:00,XRAY,68.16,68.17,68.15,68.16,54528.14,800,8
2018-01-08,13:03:00,XRAY,68.17,68.17,68.15,68.15,715643.5,10500,7
2018-01-08,13:04:00,XRAY,68.15,68.15,68.15,68.15,354404.14,5200,4
2018-01-08,13:05:00,XRAY,68.15,68.15,68.02,68.02,578954.31,8500,69
2018-01-08,13:06:00,XRAY,68.04,68.08,68.04,68.07,88763.33,1304,13
2018-01-08,13:07:00,XRAY,68.06,68.06,68.06,68.06,68060.0,1000,3
2018-01-08,13:08:00,XRAY,68.04,68.04,68.0,68.0,27208.0,400,4
2018-01-08,13:09:00,XRAY,68.0,68.03,68.0,68.03,13603.0,200,2
2018-01-08,13:10:00,XRAY,68.04,68.04,68.04,68.04,20412.25,300,3
2018-01-08,13:11:00,XRAY,68.03,68.05,68.03,68.05,49941.7,734,6
2018-01-08,13:12:00,XRAY,68.08,68.08,68.08,68.08,6808.0,100,1
2018-01-08,13:14:00,XRAY,68.08,68.08,68.08,68.08,8032.94,118,1
2018-01-08,13:16:00,XRAY,68.07,68.07,68.06,68.06,74874.0,1100,10
2018-01-08,13:17:00,XRAY,68.07,68.07,68.07,68.07,34035.0,500,4
2018-01-08,13:18:00,XRAY,68.09,68.1,68.09,68.1,64691.11,950,9
2018-01-08,13:21:00,XRAY,68.12,68.13,68.12,68.13,20438.0,300,3
2018-01-08,13:23:00,XRAY,68.1,68.1,68.08,68.08,74897.0,1100,11
2018-01-08,13:24:00,XRAY,68.07,68.1,68.03,68.07,95296.0,1400,14
2018-01-08,13:25:00,XRAY,68.06,68.07,68.06,68.07,20420.0,300,3
2018-01-08,13:27:00,XRAY,68.09,68.12,68.09,68.12,52370.57,769,6
2018-01-08,13:32:00,XRAY,68.07,68.08,68.06,68.06,156566.0,2300,21
2018-01-08,13:34:00,XRAY,68.05,68.1,68.05,68.1,292642.5,4300,22
2018-01-08,13:35:00,XRAY,68.1,68.1,68.1,68.1,20430.0,300,3
2018-01-08,13:37:00,XRAY,68.13,68.13,68.13,68.13,6813.0,100,1
2018-01-08,13:39:00,XRAY,68.1,68.11,68.09,68.11,34050.0,500,5
2018-01-08,13:41:00,XRAY,68.11,68.11,68.11,68.11,27244.0,400,4
2018-01-08,13:42:00,XRAY,68.1,68.1,68.1,68.1,34047.5,500,2
2018-01-08,13:43:00,XRAY,68.1,68.11,68.08,68.11,84159.88,1236,12
2018-01-08,13:45:00,XRAY,68.09,68.09,67.99,68.08,890071.15,13083,62
2018-01-08,13:46:00,XRAY,68.1,68.1,68.1,68.1,6810.0,100,1
2018-01-08,13:49:00,XRAY,68.09,68.09,68.08,68.08,27234.0,400,3
2018-01-08,13:50:00,XRAY,68.09,68.09,68.06,68.06,58476.52,859,6
2018-01-08,13:52:00,XRAY,68.08,68.08,68.07,68.08,88502.0,1300,13
2018-01-08,13:53:00,XRAY,68.09,68.09,68.09,68.09,6808.5,100,1
2018-01-08,13:54:00,XRAY,68.08,68.08,68.05,68.06,319896.0,4700,39
2018-01-08,13:55:00,XRAY,68.07,68.07,68.07,68.07,7555.77,111,1
2018-01-08,13:56:00,XRAY,68.08,68.08,68.08,68.08,20424.0,300,3
2018-01-08,13:57:00,XRAY,68.07,68.07,68.03,68.05,142845.93,2099,13
2018-01-08,13:58:00,XRAY,68.05,68.05,68.04,68.04,34024.0,500,5
2018-01-08,13:59:00,XRAY,68.03,68.07,68.03,68.05,122493.0,1800,18
2018-01-08,14:00:00,XRAY,68.07,68.07,68.04,68.07,43082.82,633,6
2018-01-08,14:02:00,XRAY,68.06,68.06,68.06,68.06,6805.5,100,1
2018-01-08,14:03:00,XRAY,68.04,68.04,68.04,68.04,13608.0,200,2
2018-01-08,14:05:00,XRAY,68.05,68.07,68.05,68.06,155236.03,2281,14
2018-01-08,14:06:00,XRAY,68.07,68.07,68.04,68.04,167213.2,2457,20
2018-01-08,14:07:00,XRAY,68.03,68.08,68.03,68.07,217776.0,3200,26
2018-01-08,14:08:00,XRAY,68.07,68.1,68.07,68.1,177028.0,2600,23
2018-01-08,14:09:00,XRAY,68.06,68.06,68.06,68.06,39406.74,579,5
2018-01-08,14:10:00,XRAY,68.06,68.09,68.06,68.08,39963.86,587,5
2018-01-08,14:11:00,XRAY,68.08,68.09,68.08,68.09,55487.41,815,4
2018-01-08,14:12:00,XRAY,68.09,68.1,68.09,68.1,95335.5,1400,14
2018-01-08,14:13:00,XRAY,68.11,68.13,68.1,68.11,217944.45,3200,6
2018-01-08,14:14:00,XRAY,68.12,68.12,68.11,68.11,26088.48,383,2
